,required,required,required,repeated
绝世舞姬,1000911,10022,1,1002203
萨米尔,1000912,10035,1,1003504
,1000914,10008,1,0
,1000915,10028,1,0
,1000921,10009,1,0
,1000922,52001,1,0
,1000923,52002,1,0
,1000924,52003,1,0
,1000925,52008,1,0
,1000926,10040,1,0
,1000927,10034,1,0
,1000928,10034,1,0
,1000929,10024,1,0
,1000930,10024,1,0
,1000937,10005,1,0
,1000938,10007,1,0
,1000939,10007,1,0
,1000940,2071,1,0
,1000954,52015,1,0
,1000955,52020,1,0
,1000957,10045,1,0
,1000958,10045,1,0
,1000959,10027,1,1002703
,1000960,10054,1,1005403
,1000961,9002,1,900204
,1000962,10057,1,1005704
,1000963,9003,1,900304
,1000964,10027,1,1002703
,1000965,10054,1,1005403
,1000966,9002,1,900204
,1000967,10057,1,1005704
,1000968,9003,1,900304
,1000969,10027,1,1002703
,1000970,10054,1,1005403
,1000971,9002,1,900204
,1000972,10057,1,1005704
,1000973,9003,1,900304
,1000974,10027,1,1002703
,1000975,10054,1,1005403
,1000976,9002,1,900204
,1000977,10057,1,1005704
,1000978,9003,1,900304
,1000979,10027,1,1002703
,1000980,10054,1,1005403
,1000981,9002,1,900204
,1000982,10057,1,1005704
,1000983,9003,1,900304
,1000992,10023,1,0
,1000993,10049,1,0
,1000994,10044,1,0
,1000995,10023,1,0
,1000996,10049,1,0
,1000997,10023,1,0
,1000998,10049,1,0
鹿角狂兽,1001000,10024,1,0
,1001001,10025,1,0
,1001002,10012,1,1001203
荒原蝎人·卡斯,1001003,10027,1,1002703
诡地精首领,1001004,10029,1,1002903
,1001005,10016,1,1001603
,1001006,10049,1,0
,1001007,10020,1,1002003
,1001008,10013,1,1001303
,1001009,10015,1,1001503
腐尸巫王,1001010,10013,1,1001303
暗魔巫师,1001011,52010,1,5201003
,1001012,10027,1,1002703
草原哥布林,1001013,10007,1,0
发疯的哥布林,1001014,10007,1,0
该隐,1001016,10025,1,10307
哈蒙,1001017,10012,1,1001203
鹿角兽,1001021,10006,1,0
鱼妖,1001022,10028,1,0
,1001023,10014,1,1001403
普通盗贼,1001024,10001,1,0
,1001025,10028,1,0
,1001026,10047,1,0
,1001027,10038,1,0
,1001028,10044,1,0
,1001029,10053,1,0
,1001030,10056,1,0
,1001031,5000,1,0
战魂之灵,1001032,52001,1,0
,1001033,10055,1,0
盗贼探子,1001041,10003,1,0
盗贼,1001042,10038,1,0
宝箱怪,1001043,10009,1,0
笛卡尔,1001044,10021,1,1002103
强盗贝拉,1001045,10022,1,1002203
盗贼头目,1001046,10001,1,0
盗贼（高闪避）,1001047,10001,1,0
鹿角兽,1001051,10034,1,0
战魂之灵暗,1001052,52006,1,0
巨刃鹿角兽,1001053,10034,1,0
炽炎邪法师,1001054,52010,1,5201003
食魂鹿角兽,1001055,10024,1,0
嗜血死神萨米尔,1001056,10035,1,1003504
战魂之灵,1001061,52001,1,0
战魂之殇,1001062,52002,1,0
暗黑战魂,1001063,52008,1,0
战魂之灵·火,1001064,52004,1,0
战魂之灵·冰,1001065,52005,1,0
战魂之灵·光,1001066,52007,1,0
战魂之灵·暗,1001067,52006,1,0
诺尔,1001068,52010,1,5201003
贪婪,1001069,10031,1,1003112
嗜血战魂,1001070,52003,1,0
,1001078,10008,1,0
,1001079,10008,1,0
,1001080,103,1,10307
,1001081,10014,1,1001403
,1001082,106,1,10607
,1001083,103,1,10307
,1001084,401,1,40107
,1001085,101,1,10107
,1001086,101,1,10107
,1001087,101,1,10107
,1001088,201,1,20107
,1001089,201,1,20107
,1001090,201,1,20107
,1001091,301,1,30107
,1001092,301,1,30107
,1001093,301,1,30107
,1001094,102,1,10207
,1001095,102,1,10207
,1001096,102,1,10207
,1001097,10017,1,0
,1001098,10009,1,0
,1001099,10019,1,0
,1001100,103,1,10307
,1001101,103,1,10307
,1001102,103,1,10307
,1001103,104,1,10407
,1001104,104,1,10407
,1001105,104,1,10407
,1001106,106,1,10607
,1001107,106,1,10607
,1001108,106,1,10607
,1001109,107,1,10707
,1001110,107,1,10707
,1001111,107,1,10707
,1001112,401,1,40107
,1001113,401,1,40107
,1001114,401,1,40107
,1001115,105,1,10507
,1001116,105,1,10507
,1001117,105,1,10507
,1001118,108,1,10807
,1001119,108,1,10807
,1001120,108,1,10807
,1001121,112,1,11207
,1001122,112,1,11207
,1001123,112,1,11207
,1001128,302,1,30207
,1001129,302,1,30207
,1001130,302,1,30207
,1001131,10019,1,0
,1001132,10019,1,0
,1001133,10013,1,0
,1001134,10033,1,0
,1001135,10045,1,0
,1001136,10045,1,0
,1001137,10031,1,1003112
,1001138,9000,1,900004
,1001139,9002,1,900204
,1001140,10037,1,1003704
,1001141,52010,1,5201003
,1001142,9003,1,900304
,1001143,10035,1,1003504
,1001144,10057,1,1005704
,1001145,9001,1,900104
,1001146,10022,1,1002203
,1001147,10027,1,1002703
,1001148,10033,1,1003303
,1001149,52013,1,0
,1001150,52024,1,1001603
,1001151,10058,1,0
,1001152,10055,1,0
,1001153,10047,1,0
,1001154,52012,1,0
檐鬼·克隆体,1001155,106,1,10607
夜崎隐·克隆体,1001156,107,1,10707
乔伊·克隆体,1001157,401,1,40107
克隆·克隆体,1001158,103,1,10307
檐鬼·克隆体,1001159,106,1,10607
夜崎隐·克隆体,1001160,107,1,10707
乔伊·克隆体,1001161,401,1,40107
克隆·克隆体,1001162,103,1,10307
檐鬼·克隆体,1001163,106,1,10607
夜崎隐·克隆体,1001164,107,1,10707
乔伊·克隆体,1001165,401,1,40107
克隆·克隆体,1001166,103,1,10307
檐鬼·克隆体,1001167,106,1,10607
夜崎隐·克隆体,1001168,107,1,10707
乔伊·克隆体,1001169,401,1,40107
克隆·克隆体,1001170,103,1,10307
小石头人,2000011,10017,1,0
鱼妖,2000021,10028,1,0
鱼妖,2000022,10028,1,0
鱼妖,2000031,10028,1,0
鱼妖,2000041,10028,1,0
鹿角兽,2000051,10006,1,0
小石头人,2000061,10017,1,0
普通盗贼,2000071,10001,1,0
鹿角兽队长,2000081,10024,1,0
草原游侠,2000091,10003,1,0
普通盗贼,2000101,10001,1,0
普通盗贼,2000102,10001,1,0
普通盗贼,2000103,10001,1,0
金钱哥布林,2000111,10005,1,0
草原游侠,2000121,10003,1,0
鹿角兽队长,2000131,10024,1,0
金钱哥布林,2000141,10005,1,0
鹿角兽,2000151,10006,1,0
鹿角兽,2000161,10006,1,0
鹿角兽,2000162,10006,1,0
鹿角兽,2000163,10006,1,0
杀人蜂,2000171,10025,1,0
杀人蜂,2000172,10025,1,0
杀人蜂,2000173,10025,1,0
部落精英战士,2000181,10002,1,0
部落精英战士,2000182,10002,1,0
部落精英战士,2000183,10002,1,0
狼人战士,2000191,10023,1,0
狼人战士,2000201,10023,1,0
武装狼人,2000211,10026,1,0
武装狼人,2000221,10026,1,0
狼人战士,2000231,10023,1,0
部落战士,2000241,10004,1,0
草原哥布林,2000251,10007,1,0
草原哥布林,2000261,10007,1,0
武装狼人,2000271,10026,1,0
武装狼人,2000281,10026,1,0
A型感染者,2000291,10019,1,0
A型感染者,2000301,10019,1,0
A型感染者,2000311,10019,1,0
A型感染者,2000321,10019,1,0
A型感染者,2000331,10019,1,0
A型感染者,2000341,10019,1,0
A型感染者,2000351,10019,1,0
小石头人,2001011,10017,1,0
草原哥布林,2001012,10007,1,0
鱼妖,2001021,10028,1,0
鱼妖,2001031,10028,1,0
狼人战士,2001032,10023,1,0
鱼妖,2001041,10028,1,0
普通盗贼,2001042,10001,1,0
鹿角兽,2001051,10006,1,0
金钱哥布林,2001052,10005,1,0
小石头人,2001061,10017,1,0
普通盗贼,2001071,10001,1,0
鹿角兽队长,2001081,10024,1,0
草原游侠,2001091,10003,1,0
杀人蜂,2001092,10025,1,0
普通盗贼,2001101,10001,1,0
部落精英战士,2001102,10002,1,0
狼人战士,2001103,10023,1,0
金钱哥布林,2001111,10005,1,0
草原游侠,2001121,10003,1,0
鹿角兽队长,2001131,10024,1,0
山岭巨人,2001132,10014,1,1001403
金钱哥布林,2001141,10005,1,0
草原哥布林,2001142,10007,1,0
鹿角兽,2001151,10006,1,0
鹿角兽,2001161,10006,1,0
杀人蜂,2001171,10025,1,0
部落精英战士,2001181,10002,1,0
部落战士,2001182,10004,1,0
狼人战士,2001191,10023,1,0
狼人战士,2001201,10023,1,0
杀人蜂,2001202,10025,1,0
武装狼人,2001211,10026,1,0
金钱哥布林,2001212,10005,1,0
草原哥布林,2001213,10007,1,0
山岭巨人,2001221,10014,1,1001403
狼人战士,2001231,10023,1,0
部落战士,2001241,10004,1,0
狼人战士,2001242,10023,1,0
草原哥布林,2001251,10007,1,0
贪婪,2001300,10031,1,1003112
贪婪变身,2001301,10031,1,1003112
雷克兽士兵,3000011,10006,1,0
小石头人,3000012,10017,1,0
杀人蜂,3000021,10025,1,0
普通盗贼,3000022,10001,1,0
A型感染者,3000031,10019,1,0
鹿角兽队长,3000091,10024,1,0
鹿角兽首领,3000101,10024,1,0
嗜血战魂,9000011,52003,1,0
鹿角兽,9000021,10006,1,0
鹿角兽,9000022,10006,1,0
温丽,9000031,201,1,20107
普通盗贼,9000041,10001,1,0
哥布林德雷克,9000045,10005,1,0
部落战士,9000056,10004,1,0
盗贼奸细,9000057,10003,1,0
毒刃蜂后,9000058,10025,1,0
怒海鱼妖,9000059,10020,1,1002003
鹿角兽,9000060,10024,1,0
暴熊战士,9000061,10015,1,1001503
铠甲幽灵,9000062,52002,1,0
暗夜法师,9000063,10013,1,1001303
无魂骑士,9000064,52001,1,0
弑魂领主,9000065,52003,1,0
血魔腐蚀者,9000066,10033,1,1003303
,9000067,10044,1,0
,9000068,10016,1,1001603
熊人战士,9000069,10018,1,0
,9000070,10002,1,0
边陲沙狐,9000071,10041,1,0
魔脊半人鱼,9000072,10047,1,0
黑蹄鹿角兽,9000073,10034,1,0
深渊领主,9000074,10033,1,1003303
草原领主,9000075,10027,1,1002703
大哥布林,9000077,10029,1,1002903
戈壁火狐,9000078,10053,1,0
魔化毒角兽,9000079,10033,1,1003303
魅魔,9000085,10057,1,1005704
,9000086,10040,1,0
,9000087,10047,1,0
,9000088,10049,1,0
,9000089,10045,1,0
,9000090,10019,1,0
不死丧尸,9000093,10019,1,0
狐克斯,9000094,10008,1,0
亡魂死徒,9000095,52001,1,0
亡魂死士,9000096,52002,1,0
黑袍哥布林,9000098,10007,1,0
丛林偷猎者,9000099,10002,1,0
玫瑰团追随者,9000100,10003,1,0
玫瑰团流浪者,9000101,10003,1,0
野蛮孤狼,9000102,10023,1,0
半鱼人,9000103,10028,1,0
玫瑰团追随者,9000104,10003,1,0
玫瑰团流浪者,9000105,10001,1,0
虎斑蜂,9000106,10011,1,0
黑袍哥布林,9000107,10007,1,0
丛林偷猎者,9000108,10004,1,0
滚石怪,9000109,10017,1,0
不死者,9000110,10019,1,0
亡魂死徒,9000111,52001,1,0
亡魂死士,9000112,52002,1,0
苍白獠牙塞特,9000113,10026,1,0
黑色蔷薇费玛,9000114,10021,1,1002103
食人酋长布鲁,9000115,10012,1,1001203
扭曲不死者,9000116,10013,1,1001303
骑士长亚索,9000117,52008,1,0
鹿角男爵尤德,9000118,10024,1,0
魔脊半鱼人,9000119,10047,1,0
白眼独狼,9000120,10044,1,0
巫袍鹿角兽,9000121,10024,1,0
石像鬼,9000122,9002,1,900204
荆棘花妖,9000123,5000,1,0
永夜鱼龙,9000124,10047,1,0
贝拉,9000125,10022,1,1002203
巫袍鹿角兽,9000126,10024,1,0
暗黑战魂,9000127,52008,1,0
嗜血战魂,9000128,52003,1,0
武装狼人,9000129,10026,1,0
亡魂首领,9000130,52008,1,5200803
巨熊首领,9000131,10015,1,1001503
沙漠巨人,9000132,10014,1,1001403
泰坦之魂,9000133,10052,1,1005203
,9000134,106,1,10607
苍白獠牙塞特,9000135,10026,1,0
怒鳍半鱼人,9000136,10020,1,1002003
丛林开膛手,9000137,10025,1,0
财宝哥布林,9000138,10005,1,0
巨斧屠夫曼达,9000139,10002,1,0
北方暴君纳森,9000140,10015,1,1001503
先驱者1号,9000141,10016,1,1001603
骑士长亚索,9000142,52008,1,0
食人酋长布鲁,9000143,10012,1,1001203
山岩领主蒙多,9000144,10014,1,1001403
,9000147,10049,1,0
,9000148,10046,1,0
不死丧尸,9000149,10013,1,1001303
,9000150,10015,1,1001503
,9000154,10033,1,1003303
,9000155,10021,1,1002103
,9000156,52001,1,0
,9000157,52002,1,0
,9000158,10015,1,1001503
,9000159,10019,1,0
,9000160,10020,1,1002003
,9000161,10058,1,0
,9000162,10054,1,1005403
,9000163,10005,1,0
,9000164,10005,1,0
,9000165,10016,1,1001603
,9000166,10017,1,0
,9000167,10033,1,1003303
怨念丧尸,9000168,10019,1,0
檐鬼,9000170,106,1,10607
贪婪,9000171,10031,1,1003112
巨骨熊,9000172,10018,1,0
黑骑士,9000173,52003,1,0
,9000174,10003,1,0
,9000175,10001,1,0
,9000176,10054,1,1005403
,9000177,10050,1,0
,9000178,10027,1,1002703
,9000179,10042,1,0
,9000180,8000,1,800003
,9000181,10013,1,1001303
,9000182,10024,1,0
,9000183,52003,1,0
,9000184,10039,1,1003903
,9000185,10052,1,1005203
,9000192,10049,1,0
,9000193,10045,1,0
,9000194,10033,1,1003303
,9000195,10003,1,0
半鱼人,9000197,10047,1,0
巫袍鹿角兽,9000198,10024,1,0
暗黑战魂,9000199,52008,1,0
嗜血战魂,9000200,52003,1,0
戈壁火狐,9000206,10053,1,0
鹿角兽,9000207,10006,1,0
鹿角怪,9000208,10034,1,0
沙漠巨人,9000209,10052,1,1005203
感染的冒险者,9000210,10038,1,0
熊人战士,9000211,10015,1,1001503
鹿角兽队长,9000212,10024,1,0
,9000213,52012,1,0
,9000214,52014,1,0
,9000215,52018,1,1001203
狐克斯,9000216,10008,1,0
巨骨熊,9000217,10018,1,0
,9000218,52012,1,0
,9000219,10042,1,0
,9000220,52012,1,0
狐克斯,9000221,10008,1,0
鹿角兽,9000222,10006,1,0
湖畔镇强盗,9000223,10003,1,0
,9000224,52003,0,0
,9000225,10015,1,1001503
,9000226,10002,1,0
,9000228,10038,1,0
,9000229,10029,1,1002903
,9000230,10021,1,1002103
,9000231,10053,1,0
,9000232,52021,1,5201103
,9000233,52019,1,0
,9000234,10016,1,1001603
,9000235,52011,1,5201103
,9000236,10023,1,0
白眼独狼,9000237,10023,1,0
碎魂狼王,9000238,10026,1,0
劫匪哥布林,9000239,10007,1,0
斗篷女盗贼,9000240,10001,1,0
盗贼,9000241,10022,1,1002203
黑色荆棘,9000242,10021,1,1002103
哥布林推销员,9000243,10005,1,0
劫匪,9000244,10002,1,0
鹿角兽队长,9000245,10024,1,0
,9000246,10010,1,0
,9000247,10053,1,0
,9000248,10015,1,1001503
,9000249,10048,1,0
,9000250,10019,1,0
,9000251,10027,1,1002703
,9000252,10044,1,0
,9000253,10044,1,0
,9000254,10058,1,0
,9000255,10002,1,0
,9000256,52001,1,0
,9000257,52002,1,0
,9000258,52003,0,0
,9000259,10013,1,1001303
,9000260,10051,1,0
,9000261,10046,1,0
,9000262,10054,1,1005403
,9000263,10045,1,0
,9000264,10049,1,0
,9000265,10049,1,0
,9000266,10012,1,1001203
,9000267,10038,1,0
,9000268,10034,1,0
,9000269,10015,1,1001503
,9000270,8000,1,800003
,9000271,52018,1,1001203
,9000272,52014,1,0
,9000273,10037,1,1003704
,9000274,10037,1,1003704
,9000275,10039,1,1003903
,9000276,10058,1,0
,9000277,10016,1,0
,9000278,52023,1,1001603
,9000279,52002,1,0
,9000280,10002,1,0
,9000281,10006,1,0
,9000282,10024,1,0
,9000283,10026,1,0
,9000284,10026,1,0
巫傀,9000285,10058,1,0
,9000286,10024,1,0
,9000287,10033,1,1003303
蝎怪,9000288,10027,1,1002703
,9000289,10010,1,0
,9000290,10033,1,1003303
,9000291,10056,1,0
,9000292,52024,1,0
,9000293,52015,1,0
,9000294,10016,1,0
,9000295,10050,1,0
,9000296,52020,1,0
,9000297,10042,1,0
,9000298,8000,1,800003
,9000299,10042,1,0
,9000300,52008,1,0
,9000301,10051,1,0
,9000302,52012,1,0
,9000303,52012,1,0
,9000304,10033,1,1003303
,9000305,10018,1,0
,9000306,10023,1,0
,9000307,10010,1,0
,9000308,10042,1,0
,9000309,52011,1,5201103
,9000310,10018,1,0
,9000311,10007,1,0
,9000312,52008,1,0
,9000314,52013,1,0
,9000315,10033,1,1003303
红狮白纹鱼,9000316,10020,1,0
乔斯朗,9000317,10004,1,0
乌萨,9000318,10038,1,0
,9000319,10012,1,1001203
,9000320,52003,1,0
,9000321,10004,1,0
,9000322,10038,1,0
大哥布林,9000323,10029,1,1002903
,9000324,52001,1,0
,9000325,103,1,10307
,9000326,401,1,40107
血怒武士巴赫,9000327,52012,1,900004
暗夜魔导师特里,9000328,9001,1,900104
魔魇使徒,9000329,10037,1,1003704
审判侍从伊戈尔,9000330,10031,1,1003103;1003112
荒漠领主纳伏,9000331,10027,1,1002703
荒原沙蝎,9000332,10010,1,0
荒原沙蝎,9000333,10010,1,0
迷梦蛛王黛娜,9000334,9003,1,900304
梦魇女巫薇拉,9000335,10037,1,1003704
雾妖女巫,9000336,10057,1,1005704
莽荒战神肖恩,9000337,10036,1,1003604
妖媚舞姬凯琳,9000338,10022,1,1002203
蛊惑者,9000339,10032,1,0
入魔战魂,9000340,52008,1,5201103
枯骨毒蜂克莱儿,9000341,10042,1,1004203
毒牙幽魂,9000342,10033,1,1003303
骑士副官索隆,9000343,52011,1,5201103
骑士团法师,9000344,52010,1,5201003
骑士团先锋,9000345,10050,1,0
石翼暴君沃冈,9000346,52022,1,900204
石斧鹿角兽,9000347,10024,1,0
暴君之侍,9000348,10057,1,1005704
邪灵法师艾德,9000349,52010,1,5201003
魔坛异教徒,9000350,10012,1,1001203
丧魂暴君亚尔林,9000351,10035,1,1003504
半人机械,9000352,10012,1,1001203
罪恶女巫,9000353,10057,1,1005704
秘巫使徒洛兰,9000354,10021,1,1002103
使徒亲信,9000355,10035,1,1003504
矮人行刑者,9000356,8000,1,800003
恶魔之子巴特莱,9000357,9002,1,900204
修罗祭司,9000358,10037,1,1003704
,9000362,10031,1,1003103;1003112
,9000363,10027,1,1002703
,9000364,10010,1,
,9000365,10010,1,
,9000366,9003,1,900304
,9000367,10037,1,1003704
,9000368,10057,1,1005704
,9000369,10036,1,1003604
,9000370,10022,1,1002203
,9000371,10032,1,
,9000372,52008,1,5201103
,9000373,10042,1,1004203
,9000374,10033,1,1003303
,9000375,52011,1,5201103
,9000376,52010,1,5201003
,9000377,10050,1,
,9000378,52022,1,900204
,9000379,10024,1,
,9000380,10057,1,1005704
,9000381,52010,1,5201003
,9000382,10012,1,1001203
,9000383,10035,1,1003504
,9000384,10012,1,1001203
,9000385,10057,1,1005704
,9000386,10021,1,1002103
,9000387,10035,1,1003504
,9000388,8000,1,800003
,9000389,9002,1,900204
,9000390,10037,1,1003704
,9000391,10015,1,1001503
,9000392,52021,1,5201103
,9000393,52022,1,900204
,9000394,10035,1,1003504
,9000395,10042,1,1004203
,9000396,52012,1,900004
,9000397,302,1,30207
,9000398,10021,1,1002103
,9000399,52019,1,0
,9000400,52017,1,0
,9000401,52021,1,0
,9000402,10015,1,1001503
,9000403,52021,1,5201103
,9000404,52022,1,900204
,9000405,10035,1,1003504
,9000406,10042,1,1004203
,9000407,52012,1,900004
,9000408,9001,1,900104
,9000409,10037,1,1003704
,9000410,10008,1,0
,9000411,10010,1,0
,9000412,52021,1,5201103
,9000413,10049,1,0
,9000414,10003,1,0
,9000415,10051,1,0
,9000416,52012,1,0
,9000417,10014,1,1001403
,9000418,10038,1,0
,9000419,10002,1,0
,9000420,52015,1,0
,9000421,52002,1,0
,9000422,10015,1,1001503
,9000423,52024,1,1001603
,9000424,10028,1,0
,9000425,10047,1,0
,9000426,52014,1,0
,9000427,10046,1,0
,9000428,52018,1,0
,9000429,107,1,10707
,9000430,9001,1,900104
,9000431,10025,1,0
浮士德72,9000432,5000,1,0
机械石像鬼,9000433,52022,1,900204
袭击者,9000434,52015,1,0
摩尼耶,9000435,52013,1,0
,9000436,52012,1,0
,9000437,10042,1,0
,9000438,10052,1,1005203
,9000439,10009,1,0
,9000440,52022,1,900204
,9000441,107,1,10707
,9000442,9001,1,900104
愤怒,9000443,9000,1,900004
,9000444,52024,1,1001603
,9000445,52011,1,5201103
,9000446,52021,1,0
,9000447,10050,1,0
,9000448,8000,1,800003
,9000451,52012,1,1002503
,9000452,9001,1,900104
,9000453,10037,1,1003704
,9000454,10031,1,1003112
,9000455,10027,1,1002703
,9000456,10010,1,0
,9000457,10010,1,0
,9000458,9003,1,900304
,9000459,10037,1,1003704
,9000460,10057,1,1005704
,9000461,10036,1,1003604
,9000462,10022,1,1002203
,9000463,10032,1,0
,9000464,52008,1,5201103
,9000465,10042,1,1004203
,9000466,10033,1,1003303
,9000467,52011,1,5201103
,9000468,52010,1,5201003
,9000469,10050,1,0
,9000470,52022,1,900204
,9000471,10024,1,0
,9000472,10057,1,1005704
,9000473,52010,1,5201003
,9000474,10012,1,1001203
,9000475,10035,1,1003504
,9000476,10012,1,1001203
,9000477,10057,1,1005704
,9000478,10021,1,1002103
,9000479,10035,1,1003504
,9000480,8000,1,800003
,9000481,9002,1,900204
,9000482,10037,1,1003704
,9000483,10015,1,1001503
,9000484,52021,1,5201103
,9000485,52022,1,900204
,9000486,10035,1,1003504
,9000487,10042,1,1004203
,9000488,10033,1,1003303
,9000489,9001,1,900104
,9000490,10025,1,1002503
,9000491,9000,1,900004
,9000492,10032,1,0
,9000493,10032,1,0
,9000494,10022,1,1002203
,9000495,10025,1,1002503
,9000496,10042,1,1004203
,9000497,10012,1,1001203
,9000498,10033,1,1003303
,9000499,52012,1,1002503
,9000500,52024,1,1001603
,9000501,52022,1,900204
,9000502,10027,1,1002703
,9000503,9002,1,900204
,9000504,10035,1,1003504
,9000505,10057,1,1005704
,9000506,10032,1,0
,9000507,52021,1,5201103
,9000508,10037,1,1003704
,9000509,52021,1,5201103
,9000510,10022,1,1002203
,9000511,52012,1,1002503
,9000512,10033,1,1003303
,9000513,10026,1,0
,9000514,10025,1,0
,9000515,10027,1,1002703
,9000516,52013,1,0
,9000517,10036,1,0
,9000518,52023,1,0
,9000519,9001,1,900104
,9000520,10020,1,1002003
,9000521,10042,1,1004203
,9000522,52021,1,5201103
,9000523,10031,1,1003112
,9000524,10013,1,1001303
,9000525,9002,1,900204
,9000526,10032,1,0
,9000527,52024,1,1001603
,9000528,10022,1,1002203
,9000529,10032,1,0
,9000530,52008,1,5201103
,9000531,9003,1,
,9000532,10015,1,1001503
,9000533,10024,1,0
,9000534,8000,1,800003
,9000535,52010,1,5201003
,9000536,52018,1,1001203
,9000537,10022,1,1002203
,9000538,10032,1,0
,9000539,52008,1,5200803
,9000540,10012,1,1001203
,9000541,52012,1,0
,9000542,9001,1,0
,9000543,10037,1,0
,9000544,10042,1,0
,9000545,10033,1,0
,9000546,52011,1,0
,9000547,52010,1,5201003
,9000548,10050,1,0
,9000549,10037,1,1003704
,9000550,10057,1,1005704
,9000551,52003,1,0
,9000552,52008,1,1003504
,9000553,10027,1,1002703
,9000554,10010,1,0
,9000555,10010,1,0
,9000556,10036,1,1003604
,9000557,52022,1,900204
,9000558,10024,1,0
,9000559,10057,1,1005704
,9000560,52010,1,5201003
,9000561,10012,1,1001203
,9000562,10035,1,1003504
,9000563,10012,1,1001203
,9000564,10057,1,1005704
,9000565,10021,1,1002103
,9000566,10035,1,1003504
,9000567,8000,1,800003
,9000568,9002,1,900204
,9000569,10037,1,1003704
,9000570,10015,1,1001503
,9000571,52021,1,0
,9000572,52022,1,900204
,9000573,10013,1,1001303
,9000574,10035,1,1003504
,9000575,10042,1,1004203
,9000576,10033,1,1003303
,9000577,9001,1,900104
,9000578,10025,1,1002503
,9000579,9000,1,900004
,9000580,10032,1,0
,9000581,10032,1,0
,9000582,10022,1,1002203
,9000583,10025,1,1002503
,9000584,10042,1,1004203
,9000585,10012,1,1001203
,9000586,10033,1,1003303
,9000587,52012,1,1002503
,9000588,52024,1,1001603
,9000589,52022,1,900204
,9000590,10027,1,1002703
,9000591,9002,1,900204
,9000592,10035,1,1003504
,9000593,10057,1,1005704
,9000594,10032,1,0
,9000595,52021,1,5201103
,9000596,10037,1,1003704
,9000597,52021,1,5201103
,9000598,10022,1,1002203
,9000599,52012,1,1002503
,9000600,10033,1,1003303
,9000601,10026,1,1002603
,9000602,10025,1,1002503
,9000603,10025,1,1002503
,9000604,10027,1,1002703
,9000605,52013,1,0
,9000606,10036,1,1003604
,9000607,52023,1,1001603
,9000608,9001,1,900104
,9000609,10020,1,1002003
,9000610,10042,1,1004203
,9000611,52021,1,5201103
,9000612,10031,1,1003112
,9000631,52015,1,0
,9000632,52020,1,0
,9000633,52023,1,1001603
,9000634,52022,1,900204
丧尸怪1,9001001,10013,1,1001303
红魔工蜂,9001003,10011,1,0
小石头人,9001004,10017,1,0
劫匪,9001011,10025,1,0
卫兵,9001012,52004,1,0
哥布林小贼,9001013,10007,1,0
哥布林小怪,9001014,10007,1,0
该隐,9001015,10025,1,0
山岭巨人,9001016,10014,1,1001403
狐克斯,9001021,10008,1,0
赤瞳战狼,9001022,10023,1,0
该隐,9001026,103,1,10307
贝拉,9001027,10021,1,1002103
爱琳娜,9001028,301,1,30107
北方暴君纳森,9001029,10015,1,1001503
劫匪,9001031,10003,1,0
����,9001032,52011,1,5201103
哥布林小贼,9001033,10007,1,0
山岭巨人,9001034,10014,1,1001403
鱼妖,9001041,10028,1,0
鹿角兽破坏者,9001042,10024,1,0
瑞杰,9001043,10002,1,0
,9999999,9999999,1,0
剧情用贪婪,70210031,10031,1,1003112
战斗教学1白银盾战,80052011,52011,0,5201103
,80100101,101,1,10107
,80110018,10008,0,0
战斗教学1嗜血战魂,80152003,52003,1,0
,80200101,101,1,10107
战斗教学2鹿角兽1,80210006,10006,1,0
,80211006,10006,1,0
,80300101,101,1,10107
,80300201,201,1,20107
战斗教学3部落战士,80310004,10004,1,0
战斗教学4狼人战士,80310023,10023,0,0
战斗教学4武装狼人,80310026,10026,0,0
战斗教学5狼人战士,80410023,10044,0,0
战斗教学怪,80452003,52003,1,0
战斗教学怪,80510006,10006,1,0
,80511006,10006,1,0
,80610022,10022,0,1002203
战斗教学怪,80710001,10001,1,0
战斗教学怪,80710002,10002,1,0
战斗教学怪,80710004,10004,1,0
,80810015,10015,0,1001503
,80910035,10035,0,1003504
,80952008,52003,0,1003504
,80952009,52008,0,1003504
,81310011,10025,1,0
,81310025,10025,1,0
,81510026,10026,1,0
,81652011,52011,0,5201103
,99999999,99999999,1,0
