,required,optional,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,290,,4,50,50,21000,2110001,6,2110002,2,0,0,0,0,10000,0,10000,0,0,0
,291,,4,51,51,22000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,292,,4,52,52,23000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,293,,4,53,53,24000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,294,,4,54,54,25000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,295,,4,55,55,26000,2110001,10,2110002,3,2110003,1,0,0,10000,0,10000,0,0,0
,296,,4,56,56,27000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,297,,4,57,57,28000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,298,,4,58,58,29000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,299,,4,59,59,30000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,300,,4,60,60,31000,2110001,10,2110002,3,2110003,2,0,0,10000,0,10000,0,0,0
,301,,4,61,61,32000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,302,,4,62,62,33000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,303,,4,63,63,34000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,304,,4,64,64,35000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,305,,4,65,65,36000,2110001,10,2110002,4,2110003,3,0,0,10000,0,10000,0,0,0
,306,,4,66,66,37000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,307,,4,67,67,38000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,308,,4,68,68,39000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,309,,4,69,69,40000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,310,,4,70,70,41000,2110001,10,2110002,4,2110003,4,2110004,1,10000,0,10000,0,0,0
,311,,4,71,71,42000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,312,,4,72,72,43000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,313,,4,73,73,44000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,314,,4,74,74,45000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,315,,4,75,75,46000,2110001,10,2110002,6,2110003,5,2110004,2,10000,0,10000,0,0,0
,316,,4,76,76,47000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,317,,4,77,77,48000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,318,,4,78,78,49000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,319,,4,79,79,50000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,320,,4,80,80,50000,2110001,10,2110002,6,2110003,6,2110004,3,10000,0,10000,0,0,0
,321,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,322,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,323,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,324,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
