,required,required,optional,required,required,required,required,optional,required,repeated,repeated,required,repeated,required,repeated,required
恶魔领主克拉斯,1000408,恶魔领主克拉斯,0,2,1,6,2,83,1000408,3010,900201;900202;900203;900204,"0,0",0,"0,0",0,0
灵魂鞭挞者埃莉,1000409,灵魂鞭挞者埃莉,0,2,1,4,1,84,1000409,3010;1011,1002101;1002102;1002103,"0,0",0,"0,0",0,0
致命利刃希尔琳,1000410,致命利刃希尔琳,0,2,1,4,1,85,1000410,3010;1021,1002201;1002202;1002203,"0,0",0,"0,0",0,0
诡禁魔手之奥顿,1000411,诡禁魔手之奥顿,0,2,1,6,1,86,1000411,3010,1003101;1003102;1003103;1003110;1003111;1003112,"0,0",0,"0,0",0,0
焚心巨斧之卡尔,1000412,焚心巨斧之卡尔,0,2,1,6,1,87,1000412,3010,1003601;1003602;1003603;1003604,"0,0",0,"0,0",0,0
暗渊蛛姬之达莉,1000413,暗渊蛛姬之达莉,0,2,2,6,1,88,1000413,3010;1011,900301;900302;900303;900304,"0,0",0,"0,0",0,0
堕落法王之帕克,1000414,堕落法王之帕克,0,2,1,6,1,89,1000414,3010;1021,5201001;5201002;5201003,"0,0",0,"0,0",0,0
荒芜魔斧之伊凡,1000415,荒芜魔斧之伊凡,0,2,1,6,1,90,1000415,3010,1003501;1003502;1003503;1003504,"0,0",0,"0,0",0,0
苍澜怒火之德里,1000416,苍澜怒火之德里,0,2,1,6,2,91,1000416,3010,900001;900002;900003;900004,"0,0",0,"0,0",0,0
寂静梦魇之琼斯,1000417,寂静梦魇之琼斯,0,2,1,2,1,92,1000417,3010;1011,1002701;1002702;1002703,"0,0",0,"0,0",0,0
深渊巫医之加尔,1000418,深渊巫医之加尔,0,2,1,6,2,93,1000418,3010;1021,1005701;1005702;1005703;1005704,"0,0",0,"0,0",0,0
薄暮巫女之米格,1000419,薄暮巫女之米格,0,2,1,6,1,94,1000419,3010,1003701;1003702;1003703;1003704,"0,0",0,"0,0",0,0
恶魔主宰之伊拉,1000420,恶魔主宰之伊拉,0,2,1,6,2,95,1000420,3010,900201;900202;900203;900204,"0,0",0,"0,0",0,0
魅影流光之莎朗,1000421,魅影流光之莎朗,0,2,1,4,1,96,1000421,3010;1011,1002101;1002102;1002103,"0,0",0,"0,0",0,0
魔沼咒刃之苏菲,1000422,魔沼咒刃之苏菲,0,2,1,4,1,97,1000422,3010;1021,1002201;1002202;1002203,"0,0",0,"0,0",0,0
,1000424,默希娅,0,2,1,6,1,90,1000424,3010,1003701;1003702;1003703;1003704,"0,0",0,"0,0",0,0
,1000425,,0,1,1,0,1,25,1000425,1011,1005201;1005202;1005203,"0,1,2",0,"0,1,0,1;2,0,1;0,1,0,1;0,1,2",0,0
,1000426,,0,1,1,5,1,25,1000426,1021,1004701;1004702,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0;0,1,0;1,0,1",0,0
,1000427,,0,1,1,4,1,26,1000427,1601,1001601;1001602;1001603,"0,1,0,2;1,0,1",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1000428,,0,1,1,5,1,26,1000428,1602,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
,1000429,,0,1,1,4,1,27,1000429,1641;1031,30201;30202;30203;30204;30205;30206;30207,"0,5,2,2,4",0,"1,5,2,2,2,3,6;0,5,2,2,2,2,4",0,0
,1000430,,0,1,1,6,1,28,1000430,1610,1003301;1003302;1003303,"0,1,2;0,1,2",0,"0,1,1;1,0,1,2",0,0
,1000431,,0,1,1,1,1,28,1000431,1605;1627,1002401;1002402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000432,,0,1,1,2,1,29,1000432,1611,1002701;1002702;1002703,"0,1,2;0,0,1,2",0,"0,1,1;0,1,2",0,0
,1000433,,0,1,1,3,1,30,1000433,,5200801;5200802;5200803,"0,0,2",0,"1,0,0;1,0,2",0,0
,1000434,,0,1,1,3,1,30,1000434,1608,5200301;5200302,"0,0,0",0,"1,0,0",0,0
,1000435,,0,1,1,4,1,31,1000435,1635;1636,10301;10302;10303;10304;10305;10306;10307,"0,2,3,5,6",0,"1,2,4,5;0,2,3,6",0,0
,1000436,,0,1,1,1,1,31,1000436,1612,1002501;1002502;1002503,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000437,,0,1,1,6,1,31,1000437,,1005701;1005702;1005703;1005704,"2,3",0,"2,2,3;2,2",0,0
,1000438,,0,1,1,4,1,32,1000438,1614,5201101;5201102;5201103,"0,1,0;0,0,2",0,"0,0,1;0,0,2;0,0;0,0,0;0,1,2,2;0,1,0",0,0
,1000439,,0,1,1,6,1,32,1000439,1618,1003701;1003702;1003703;1003704,"0,1,2,3;1,0,2,1",0,"3,1,2;1,0,2;1,0,2;2,0,1,3;1,0,2",0,0
,1000440,,0,1,1,0,1,32,1000440,1602,1005201;1005202;1005203,"0,1,2",0,"0,1,0,1;2,0,1;0,1,0,1;0,1,2",0,0
,1000441,,0,1,1,3,1,33,1000441,1632,1001301;1001302;1001303,"0,1,0,2;1,0,1",0,"1,2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1000442,,0,1,1,6,1,33,1000442,,1005701;1005702;1005703;1005704,"2,3",0,"2,2,3;2,2",0,0
,1000443,,0,1,1,6,1,34,1000443,1603,900001;900002;900003;900004,"2,1,3;0,1,1",0,"0,1,2;0,2,1,3;0,1,1",0,0
,1000444,,0,1,1,6,1,34,1000444,1604,5201001;5201002;5201003,"0,1,0;0,1,2",0,"0,1,2;0,0,1",0,0
,1000445,,0,1,1,6,1,35,1000445,1616,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000446,,0,1,1,6,1,35,1000446,1617,1003501;1003502;1003503;1003504,"0,1,2,3;1,0,2,1",0,"3,1,2;1,0,2;1,0,2;2,0,1,3;1,0,2",0,0
,1000447,,0,1,1,4,1,35,1000447,1031,1002201;1002202;1002203,"0,1,0;0,1,2",0,"0,1,0;0,1,2;1,0,1;1,0,1;1,0,2",0,0
,1000448,,0,1,1,1,1,36,1000448,1618,1001201;1001202;1001203,"0,1,2;0,2,1,0",0,"0,1,0;1,2,1,0;0,0,1",0,0
,1000449,,0,1,1,4,1,36,1000449,1605,5200301;5200302,"0,0,1;0,0,1,1",0,"0,0;1,0,0,1;0,0,1,1",0,0
,1000450,,0,1,1,5,1,36,1000450,1619,1002001;1002002;1002003,"1,0,1;0,1,0,2",0,"1,2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1000451,,0,1,1,4,1,37,1000451,1618,11201;11202;11203;11204;11205;11206;11207,"0,2,3,5,6",0,"1,2,4,5;0,2,3,6",0,0
,1000452,,0,1,1,6,1,37,1000452,,1005701;1005702;1005703;1005704,"2,3",0,"2,2,3;2,2",0,0
,1000453,,0,1,1,6,1,37,1000453,1627,1003301;1003302;1003303,"0,1,2;0,1,2",0,"0,1,1;1,0,1,2",0,0
,1000454,,0,1,1,1,1,37,1000454,1606,1001501;1001502;1001503,"0,2,1;0,1,0",0,"0,1,2;1,0,1",0,0
,1000455,,0,1,1,6,1,38,1000455,1624,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000456,,0,1,1,4,1,38,1000456,1626,800001;800002;800003,"0,1,2;0,1,0,1",0,"0,1,0,1;0,2,1;0,1,0",0,0
,1000457,,0,1,1,4,1,38,1000457,1011,1001601;1001602;1001603,"0,1,0,2;1,0,1",0,"0,1,0,2;0,1,0;0,1,2;0,1,0",0,0
,1000458,,0,1,1,4,1,39,1000458,1635,1002101;1002102;1002103,"0,1,0,2;1,0,1",0,"1,2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1000459,,0,1,1,6,1,39,1000459,1603,900001;900002;900003;900004,"2,1,3;0,1,1",0,"0,1,2;0,2,1,3;0,1,1",0,0
,1000460,,0,1,1,4,1,39,1000460,1031,1002201;1002202;1002203,"0,1,0;0,1,2",0,"0,1,0;0,1,2;1,0,1;1,0,1;1,0,2",0,0
,1000461,,0,1,1,3,1,40,1000461,1619,1001301;1001302;1001303,"0,1,0,2;1,0,1",0,"1,2,1,0;0,1,1;0,1,1;1,0,1,2",0,0
,1000462,,0,1,1,6,1,40,1000462,1604,5201001;5201002;5201003,"0,1,0;0,1,2",0,"0,1,2;0,0,1",0,0
,1000463,,0,1,1,1,1,40,1000463,1606,1001501;1001502;1001503,"2,0,1",0,"0,1;0,1,2;0,1;2,0,1",0,0
,1000464,,0,1,1,4,1,41,1000464,1625,1002201;1002202;1002203,"0,1,0;0,1,2",0,"0,1,0;0,1,2;1,0,1;1,0,1;1,0,2",0,0
,1000465,,0,1,1,2,1,41,1000465,1611,1002701;1002702;1002703,"0,1,2;0,0,1,2",0,"0,1,1;0,1,2",0,0
,1000466,,0,1,1,1,1,42,1000466,1606,1001501;1001502;1001503,"0,2,1;0,1,0",0,"0,1,2;1,0,1",0,0
,1000467,,0,1,1,6,1,42,1000467,1621,1003701;1003702;1003703;1003704,"0,1,2,3;1,0,2,1",0,"3,1,2;1,0,2;1,0,2;2,0,1,3;1,0,2",0,0
,1000468,,0,1,1,4,1,43,1000468,1639;1011,30101;30102;30103;30104;30105;30106;30107,"0,2,3,5",0,"1,2,4,6;0,2,3,5",0,0
,1000469,,0,1,1,4,1,43,1000469,1640;1021;1622,20101;20102;20103;20104;20105;20106;20107,"0,2,3,5,6",0,"1,2,4,5;0,2,3,6",0,0
,1000470,,0,1,1,4,1,44,1000470,1641;1031,30201;30202;30203;30204;30205;30206;30207,"0,5,2,2,4",0,"1,5,2,2,2,3,6;0,5,2,2,2,2,4",0,0
,1000471,,0,1,1,4,1,45,1000471,1618,10101;10102;10103;10104;10105;10106;10107,"0,3,5,2,4,6",0,"1,2,4,5;0,3,5,2,4,6",0,0
,1000472,,0,1,1,1,1,46,1000472,1631;1619,10801;10802;10803;10804;10805;10806;10807;10821;10822;10823;10824;10825;10826;10827,"0,2,4,5,6",0,"7,9,11,12,13;1,3,4,5,6;8,10,11,12,13;0,2,4,5,6",0,0
,1000473,,0,1,1,4,1,47,1000473,1639;1011,30101;30102;30103;30104;30105;30106;30107,"0,2,3,5,6",0,"1,2,4,5;0,2,3,6",0,0
,1000474,,0,1,1,6,1,48,1000474,1604;1011,10701;10702;10703;10704;10705;10706;10707,"0,2,3,4,6",0,"5,2,4,2,3,2;0,2,3,4,6",0,0
,1000475,,0,1,1,6,1,49,1000475,1606;1021,40101;40102;40103;40104;40105;40106;40107,"0,2,3,5",0,"1,2,4,5,6;0,2,3,5",0,0
,1000476,,0,1,1,4,1,49,1000476,1609,5200801;5200802;5200803,"1,0,2",0,"1,0,0;1,0,2",0,0
,1000477,,0,1,1,3,1,49,1000477,1608,5200801;5200802;5200803,"0,0,2",0,"1,0,0;1,0,2",0,0
,1000478,,0,1,1,2,1,50,1000478,1611,1002701;1002702;1002703,"0,1,2;0,0,1,2",0,"0,1,1;0,1,2",0,0
,1000479,,0,1,1,2,1,50,1000479,1612,1004201;1004202;1004203,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000480,巨刃鹿角兽,0,0,1,1,1,38,1000480,,1003401;1003402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000481,金钱哥布林,0,0,1,5,1,0,1000481,,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
,1000482,金钱哥布林,0,0,1,5,1,0,1000482,,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
,1000483,金钱哥布林,0,0,1,5,1,0,1000483,,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
,1000484,金色魅影,201,0,1,5,1,1,1000484,1031;1051,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
,1000485,黄金巨石大盗,203,0,1,5,1,1,1000485,1011,1001401;1001402;1001403,"0,1,2",0,"0,1,0,1;2,0,1;0,1,0,1;0,1,2",0,0
,1000486,黄金寇盗,201,0,1,1,1,1,1000486,1091,1002401;1002402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000487,黄金魅惑大盗,201,0,1,5,2,1,1000487,1071,500001;500002,"0,0,1",0,"0,0,1",0,0
,1000491,毒尾蝎,0,0,1,2,1,42,1000491,1011,1001001;1001002,"1,0,1",0,"1,0,1",0,0
,1000492,索加的魔化灵体,0,2,1,6,2,40,1000492,1602,1003301;1003302;1003303,"0,1,2;0,0,2",0,"0,1,2;1,0,1,0,2",0,0
,1000493,魔箱兽,0,1,1,6,1,36,1000493,1602,1000901;1000902,"0,0,1",0,"0,0,1",0,0
,1000494,魔箱兽,0,0,1,6,1,32,1000494,1621,1000901;1000902,"0,0,1",0,"0,0,1",0,0
,1000495,丧尸法师,0,1,1,3,1,45,1000495,1621,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000496,觉醒的魔族亡者,0,1,1,3,2,20,1000496,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000497,哥布林探宝队长,0,1,1,5,2,28,1000497,,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
,1000498,宝箱怪,0,1,1,6,2,28,1000498,,1000901;1000902,"0,0,1",0,"0,0,1",0,0
,1000499,石像鬼塔比瑟,0,2,1,6,1,51,1000499,1616,900201;900202;900203;900204,"0,1,2,3;1,0,2,1,3",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000500,魅魔,0,2,2,6,2,43,1000500,1620,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3",0,0
,1000501,女巫仆从,0,1,2,6,2,40,1000501,1620,1005801;1005802,"0,0,1",0,"0,0,1",0,0
,1000502,魔箱兽,0,1,1,6,1,22,1000502,1011,1000901;1000902,"0,0,1",0,"0,0,1",0,0
,1000503,食人魔教官,0,1,1,1,1,30,1000503,1041,1001201;1001202;1001203,"2,0,1,0;0,1,2",0,"2,0,1,0;0,1,2",0,0
,1000504,魔化的龙骑兵长,0,1,1,3,1,52,1000504,,5200301;5200302,"1,0,0,1;0,1,1",0,"0,1,1;1,0,0,1",0,0
,1000505,暗魔法狂热者,0,2,1,6,2,54,1000505,,5201001;5201002;5201003,"2,0,1,2",0,"2,1,0,2;0,1,2",0,0
,1000509,强盗贝拉,0,1,1,4,1,21,1000509,1625,1002201;1002202;1002203,"0,1,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000510,海蓝蛮狐,0,0,1,5,1,48,1000510,1021;1633,1000801;1000802,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
,1000511,深海巨鳍,0,1,1,6,1,49,1000511,1021;1626,1001201;1001202;1001203,"2,0,1,0;0,1,2",0,"2,0,1,0;0,1,2",0,0
,1000512,海蓝蛮狐,0,0,1,5,1,48,1000512,1021;1633,1000801;1000802,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
,1000513,扬博士,0,2,1,4,1,50,1000513,1011;1640,1001601;1001602;1001603,"0,1,2",0,"0,1,0,2;0,1,2",0,0
,1000514,默希娅,0,2,1,6,1,50,1000514,1603,1003701;1003702;1003703;1003704,"0,1,2,3",0,"0,1,2,3",0,0
,1000515,怪物种族0,0,1,1,5,2,1,5000,,500001;500002,"0,0,1",0,"0,0,1",0,0
,1000516,怪物种族1,0,1,1,5,2,1,5000,,500001;500002,"0,0,1",0,"0,0,1",0,0
,1000517,怪物种族2,0,1,1,5,2,1,5000,,500001;500002,"0,0,1",0,"0,0,1",0,0
,1000518,怪物种族3,0,1,1,5,2,1,5000,,500001;500002,"0,0,1",0,"0,0,1",0,0
,1000519,怪物种族4,0,1,1,5,2,1,5000,,500001;500002,"0,0,1",0,"0,0,1",0,0
,1000520,怪物种族5,0,1,1,5,2,1,5000,,500001;500002,"0,0,1",0,"0,0,1",0,0
,1000521,怪物种族6,0,1,1,5,2,1,5000,,500001;500002,"0,0,1",0,"0,0,1",0,0
,1000522,怪物种族7,0,1,1,5,2,1,5000,,500001;500002,"0,0,1",0,"0,0,1",0,0
,1000523,不死丧尸,0,0,1,1,1,0,1000523,,1001901;1001902,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000524,熔岩丧尸,0,0,1,1,1,0,1000524,,1004501;1004502,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000525,糜烂丧尸,0,0,1,1,1,0,1000525,,1004001;1004002,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
蝎怪,1000526,精灵战士,0,0,1,5,1,48,1000526,1071,1000101;1000102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
锤子团佣兵,1000527,要塞守卫官,0,0,1,4,1,48,1000527,1071,1004801;1004802,"0,1,0,1,0;1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
锤子团统领,1000528,锤子团首领,0,1,1,4,1,50,1000528,1071;1141,1005001;1005002,"0,1,0,1,0;1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
巫傀,1000529,女巫仆从,0,0,1,6,2,48,1000529,1031,1005801;1005802,"0,0,1",0,"0,0,1",0,0
荒原女巫,1000530,荒原女巫,0,1,1,6,1,50,1000530,1031;1141,1005401;1005402;1005403,"0,1,2",0,"0,1,2",0,0
矮巨人铁锤,1000531,矮巨人矿工,0,0,1,4,1,48,1000531,1101,1004601;1004602,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
矮巨人酋长,1000532,矮巨人指挥官,0,1,1,4,1,50,1000532,1101;1141,800001;800002;800003,"0,1,2;1,2,0,2",0,"0,1,2;1,2,0,2",0,0
黑暗法师,1000533,精灵弓箭手,0,0,1,5,1,48,1000533,1141,1000301;1000302,"0,0,1",0,"0,0,1",0,0
藤蔓花妖,1000534,绿林花妖,0,0,1,5,2,48,1000534,1141,500001;500002,"0,0,1",0,"0,0,1",0,0
草原哥布林,1000535,黄金首领,0,2,1,4,1,52,1000535,1011,5200801;5200802;5200803,"2,0;0,1,1",0,"0,0;0,1,2;0,0;0,1;0,1,2,2",0,0
噬灵邪法师,1000536,黑暗法师,0,2,1,6,1,52,1000536,1021,5201001;5201002;5201003,"0,1,2;0,1,2",0,"0,1,2;0,0,1",0,0
蜘蛛女王艾达,1000537,蜘蛛女王,0,2,2,6,1,55,1000537,1011;1021;1141,900301;900302;900303;900304,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1000538,鹿角怪,0,0,1,1,1,1,1000538,,1003401;1003402,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000539,鹿角兽,0,0,1,1,1,1,1000539,,1000601;1000602,"0,1,0;1,0,1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000540,大哥布林,0,0,1,5,1,1,1000540,,1002901;1002902;1002903,"0,1,2;1,0,1",0,"1,0,1;0,1,2;1,0,1;1,0,1;2,0,1;1,0,1",0,0
,1000541,草原哥布林,0,0,1,5,1,1,1000541,,1000701;1000702,"0,0,1",0,"0,0,1",0,0
,1000542,战魂之灵,0,0,1,3,1,1,1000542,,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000543,战魂之殇,0,0,1,3,1,1,1000543,,5200201;5200202,"0,0,1",0,"0,0,1",0,0
,1000544,暗黑战魂,0,1,1,3,1,1,1000544,1131,5200801;5200802;5200803,"0,1;0,0,2",0,"0,1;0,0,2;0,1;0,1,2,2;0",0,0
,1000545,感染的冒险者,0,0,1,3,1,0,1000545,,1003801;1003802,"0,1,0,1,0;1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000546,部落战士,0,0,1,4,1,0,1000546,1101,1000401;1000402,"0,1,0,1,0;1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000547,部落精英战士,0,1,1,4,1,0,1000547,1101,1000201;1000202,"0,1,0,1,0;1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000548,野蛮孤狼,0,0,1,1,1,0,1000548,1111,1002301;1002302,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000549,巨骨熊,0,0,1,1,1,0,1000549,1111,1001801;1001802,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
,1000550,暴怒战熊,0,1,1,1,1,0,1000550,1111,1001501;1001502;1001503,"2,0,1",0,"0,1;0,1,2;0,1;2,0,1",0,0
红甲虫,1000551,机械男孩,0,0,1,4,2,1,1000551,1031,1005801;1005802,"0,0,1",0,"0,0,1",0,0
,1000552,机械女孩,0,0,1,6,2,1,1000552,1031,1005801;1005802,"0,0,1",0,"0,0,1",0,0
冰霜战魂,1000553,冰霜战魂,0,0,1,3,1,27,1000553,1012,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
火焰战魂,1000554,火焰战魂,0,0,1,3,1,27,1000554,1022,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
光耀战魂,1000555,光耀战魂,0,0,1,3,1,27,1000555,3001,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
幽暗战魂,1000556,幽暗战魂,0,0,1,3,1,27,1000556,1311,5200101;5200102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000557,猩红魔箱,0,0,1,6,1,1,10009,,1000901;1000902,"0,0,1",0,"0,0,1",0,0
,1000558,丧尸法师,0,0,1,3,1,1,1000558,,1001301;1001302;1001303,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000559,森林猎手,0,0,1,5,1,1,1000559,,1005101;1005102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000560,泪目狼人,0,0,1,1,1,1,1000560,,1004401;1004402,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000561,大哥布林,0,1,1,5,1,1,1000561,,1002901;1002902;1002903,"2,0,1;1,0,1",0,"1,0,1;0,1,2;1,0,1;1,0,1;2,0,1;1,0,1",0,0
,1000562,寄居熊,0,1,1,1,1,1,1000562,,1003901;1003902;1003903,"2,0,1",0,"0,1;0,1,2;0,1;2,0,1",0,0
,1000563,狂化阿噗,0,1,1,6,1,1,1000563,1021,1003301;1003302;1003303,"0,1,2;0,0,2",0,"0,1,2;1,0,1,0,2",0,0
,1000564,金钱哥布林,0,2,1,5,1,1,1000564,,1000501;1000502,"0,1,1",0,"0,1;0,1,1",0,0
,1000565,嗜血战魂,0,1,1,3,1,1,1000565,,5200301;5200302,"1,0,0,1;0,1,1",0,"0,1,1;1,0,0,1",0,0
,1000566,枭鹰族长雷娜,201,1,1,1,1,1,1000566,1051,1002501;1002502;1002503,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000567,岩壁巨人哈默,201,1,1,5,1,1,1000567,1111;1011,1001401;1001402;1001403,"0,1,2",0,"0,1,0,1;2,0,1;0,1,0,1;0,1,2",0,0
,1000568,暗夜曼陀罗梅纳,201,1,1,4,1,1,1000568,,1002101;1002102;1002103,"0,1,2;0,1,0,2",0,"0,1,2;0,1,0,2",0,0
,1000569,烈锋之刃伊莎,201,1,1,2,1,1,1000569,1051,1002501;1002502;1002503,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000570,森林暴君亨克,201,1,1,1,1,1,1000570,1111,1001501;1001502;1001503,"2,0,1",0,"0,1;0,1,2;0,1;2,0,1",0,0
,1000571,海啸鳍盔,201,1,1,6,1,1,1000571,1111,1001201;1001202;1001203,"2,0,1,0;0,1,2",0,"2,0,1,0;0,1,2",0,0
,1000572,炎息半鱼人,201,1,1,5,1,1,1000572,1021,1002001;1002002;1002003,"0,1,2",0,"0,1,0,2;0,1,2;0,2,1,2;0,1,2",0,0
,1000573,绯红玫瑰芙罗瓦,201,1,1,4,1,1,1000573,1031,1002201;1002202;1002203,"0,1,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000574,森林战熊加洛,201,1,1,1,1,1,1000574,,1004901;1004902,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
,1000575,黑龙翼队长埃尔南,201,1,1,4,1,1,1000575,,5200301;5200302,"1,0,0,1;0,1,1",0,"0,1,1;1,0,0,1",0,0
,1000576,掠夺行刑官苏尼戈,201,1,1,4,1,1,1000576,1101,1000201;1000202,"0,1,0,1,0;1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000577,橙翼蜂王妮科,201,1,1,2,1,1,1000577,1051,1004201;1004202;1004203,"0,1,0,2;1,0,1,2",0,"0,1,2;1,0,1,0,2;0,1,1;1,0,1,2",0,0
,1000578,荒岩主宰马莱因,201,1,1,5,1,1,1000578,,1005201;1005202;1005203,"0,1,2",0,"0,1,0,1;2,0,1;0,1,0,1;0,1,2",0,0
,1000579,丛林狂剑士,101,0,1,5,1,1,1000579,,1003801;1003802,"0,1,0,1,0;1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000580,恶蝠魔箱,101,0,1,6,1,1,1000580,,1000901;1000902,"0,0,1",0,"0,0,1",0,0
,1000581,石心怪,101,0,1,5,1,1,1000581,1011,1001701;1001702,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
,1000582,嗜血魔狐,101,0,1,5,1,1,1000582,,1000801;1000802,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
,1000583,纹鳞半鱼人,101,0,1,5,1,1,1000583,,1004701;1004702,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0;0,1,0;1,0,1",0,0
,1000584,黑龙翼兵,101,0,1,4,1,1,1000584,,5200201;5200202,"0,0,1",0,"0,0,1",0,0
,1000585,掠夺者,101,0,1,4,1,1,1000585,1101,1000201;1000202,"0,1,0,1,0;1,0",0,"1,0,1,0,1;0,1,1;0,1,0,1;1,0,1",0,0
,1000586,荒野赤狐,101,0,1,5,1,1,1000586,,1000801;1000802,"0,0,1;0,0,1",0,"0,0,1;0,0,1",0,0
,1000587,黑背暴熊,101,0,1,1,1,1,1000587,1111,800001;800002;800003,"0,1,2;1,2,0,2",0,"0,1,2;1,2,0,2",0,0
,1000588,褐尾蝎,101,0,1,2,1,1,1000588,,1001001;1001002,"1,0,1",0,"1,0,1",0,0
,1000589,金瞳胡蜂,101,0,1,2,1,1,1000589,1051,1004001;1004002,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
,1000590,禁林弓兵,101,0,1,5,1,1,1000590,,1000301;1000302,"0,0,1",0,"0,0,1",0,0
,1000591,禁林剑卫,101,0,1,5,1,1,1000591,,1000101;1000102,"0,1,0;1,0,1,0",0,"0,1;1,0,1,0,1;0,1,0;1,0,1",0,0
