,required,optional,optional
黑魔巫师,3238,Textures\Atlas\Dyn\CharacterCommonHead\AndrewBlack.png,Textures\Atlas\Dyn\CharacterHalfBody\AndrewBlack.png
希尔（每日）,3239,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png
海莉大妈（每日）,3240,Textures/Atlas/Dyn/CharacterCommonHead/Womanoldwoman.png,Textures/Atlas/Dyn/CharacterHalfBody/Womanoldwoman.png
齐娜（每日）,3241,Textures\Atlas\Dyn\CharacterCommonHead\OusangBoyleAunt.png,Textures\Atlas\Dyn\CharacterHalfBody\OusangBoyleAunt.png
老乞丐查理（每日）,3242,Textures\Atlas\Dyn\CharacterCommonHead\Beggar.png,Textures\Atlas\Dyn\CharacterHalfBody\Beggar.png
麦提（每日）,3243,Textures/Atlas/Dyn/CharacterCommonHead/Manandoldman.png,Textures/Atlas/Dyn/CharacterHalfBody/Oldman.png
库伯拉（每日）,3244,Textures/Atlas/Dyn/CharacterCommonHead/Manandoldman.png,Textures/Atlas/Dyn/CharacterHalfBody/Oldman.png
吟游诗人（每日）,3245,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\TheBardofMammon.png
安可（每日）,3246,Textures/Atlas/Dyn/CharacterCommonHead/Ancore.png,Textures\Atlas\Dyn\CharacterHalfBody\Ancore.png
花店老板（每日）,3247,Textures\Atlas\Dyn\CharacterCommonHead\Youngwomen.png,Textures\Atlas\Dyn\CharacterHalfBody\Youngwomen.png
邦妮（每日）,3248,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\DivaLuna.png
佣兵托尼（每日）,3249,Textures/Atlas/Dyn/CharacterCommonHead/Uncle.png,Textures/Atlas/Dyn/CharacterHalfBody/Uncle.png
碎魂狼王乌迪尔,3250,Textures\Atlas\Dyn\CharacterCommonHead\ArmedWolf.png,Textures\Atlas\Dyn\CharacterHalfBody\Wolves.png
,3251,Textures/Atlas/Dyn/CharacterCommonHead/HeroPrairie.png,Textures\Atlas\Dyn\CharacterHalfBody\PrairieRanger.png
,3252,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png
,3253,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\breadgodmissionary.png
,3254,Textures/Atlas/Dyn/CharacterCommonHead/BearWarrior.png,Textures\Atlas\Dyn\CharacterHalfBody\BearWarrior.png
,3255,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3256,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Captainirving.png
罗兰二世,3259,Textures\Atlas\Dyn\CharacterCommonHead\King.png,Textures/Atlas/Dyn/CharacterHalfBody/King.png
泰坦之魂,3260,Textures\Atlas\Dyn\CharacterCommonHead\SandGiant.png,Textures\Atlas\Dyn\CharacterHalfBody\Desertgiant.png
火狐科斯,3262,Textures\Atlas\Dyn\CharacterCommonHead\Mysticalbeast.png,Textures\Atlas\Dyn\CharacterHalfBody\Mysteriousbeast.png
火狐弟弟,3263,Textures\Atlas\Dyn\CharacterCommonHead\Mysticalbeast.png,Textures\Atlas\Dyn\CharacterHalfBody\Mysteriousbeast.png
发狂的怪物,3264,Textures\Atlas\Dyn\CharacterCommonHead\CrazyMichel.png,Textures\Atlas\Dyn\CharacterHalfBody\CrazyMichel.png
,3265,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
,3266,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
,3267,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\XiaoShuLing.png
,3268,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Beggar.png
,3269,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\GoblinHead.png
魔导箱守卫萨泽,3270,Textures\Atlas\Dyn\CharacterCommonHead\MoneyColombo.png,Textures\Atlas\Dyn\CharacterHalfBody\MoneyColombo.png
魔导箱守卫普坦,3271,Textures\Atlas\Dyn\CharacterCommonHead\HarmontheOgre.png,Textures\Atlas\Dyn\CharacterHalfBody\HarmontheOgre.png
魔导箱守卫波尔,3272,Textures\Atlas\Dyn\CharacterCommonHead\EliteWarrio.png,Textures\Atlas\Dyn\CharacterHalfBody\TribaleliteWarrior.png
,3273,Textures/Atlas/Dyn/CharacterCommonHead/Headhammer.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
佣兵伊什,3275,Textures\Atlas\Dyn\CharacterCommonHead\EliteWarrio.png,Textures\Atlas\Dyn\CharacterHalfBody\TribaleliteWarrior.png
羊皮纸,3276,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
怒蝎统领强森,3277,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Scorpion.png
铠甲幽灵布劳,3278,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
驭魂法师拜诺,3279,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Zombiemaster.png
,3280,Textures/Atlas/Dyn/CharacterCommonHead/Edgar.png,Textures\Atlas\Dyn\CharacterHalfBody\Edgar.png
,3281,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Commandershortgiant.png
,3283,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/Abbey.png
,3284,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterCommonHead\default.png
,3285,Textures/Atlas/Dyn/CharacterCommonHead/Ancore.png,Textures\Atlas\Dyn\CharacterHalfBody\teenageboy.png
,3286,,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3287,,Textures/Atlas/Dyn/CharacterHalfBody/PrairieRanger.png
精灵族剑士,3288,,Textures\Atlas\Dyn\CharacterHalfBody\ElfWarrior.png
蜘蛛女王艾达,3289,,Textures\Atlas\Dyn\CharacterHalfBody\queenspider.png
,3290,Textures\Atlas\Dyn\CharacterCommonHead\Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png
,3291,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\XiaoShuLing.png
,3292,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\breadgodmissionary.png
精灵族射手,3293,,Textures\Atlas\Dyn\CharacterHalfBody\ElvenArcher.png
,3294,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/GuardwarlordSalin.png
,3297,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/BearWarrior.png
魔导箱守卫伊登,3298,Textures/Atlas/Dyn/CharacterCommonHead/Scorpion.png,Textures/Atlas/Dyn/CharacterHalfBody/Scorpion.png
魔导箱守卫哈伦,3299,Textures/Atlas/Dyn/CharacterCommonHead/ArmedbearWarrior.png,Textures/Atlas/Dyn/CharacterHalfBody/ArmedbearWarrior.png
魔导箱守卫科克,3300,Textures/Atlas/Dyn/CharacterCommonHead/MountainGant.png,Textures/Atlas/Dyn/CharacterHalfBody/MountainGant.png
,3301,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Bigfishdemon.png
,3302,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/MoneyColombo.png
,3303,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/MoneyColombo.png
,3304,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Pioneer1.png
,3305,Textures/Atlas/Dyn/CharacterCommonHead/MountainGant.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3307,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Beggar.png
,3308,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Uncle.png
,3309,,Textures\Atlas\Dyn\CharacterHalfBody\Theviolinistlittleblack.png
,3310,,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3311,,Textures\Atlas\Dyn\CharacterHalfBody\robber.png
,3312,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/BearWarrior.png
,3313,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/Deadwalking.png
,3314,Textures\Atlas\Dyn\CharacterCommonHead\Herly.png,Textures\Atlas\Dyn\CharacterHalfBody\Herly.png
卡诺萨保卫战用黑暗法师,3315,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\AndrewBlack.png
卡诺萨保卫战用魅魔,3316,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Demon.png
卡诺萨保卫战用恶魔修帝,3317,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
卡诺萨保卫战用萨米尔,3318,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Godofdeath.png
,3319,Textures/Atlas/Dyn/CharacterCommonHead/Edgar.png,Textures\Atlas\Dyn\CharacterHalfBody\Edgar.png
,3320,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3321,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\GoblinHead.png
,3322,Textures/Atlas/Dyn/CharacterCommonHead/Youngmen.png,Textures/Atlas/Dyn/CharacterHalfBody/Youngmen.png
戈壁火狐,3330,Textures\Atlas\Dyn\CharacterCommonHead\Mysticalbeast.png,Textures\Atlas\Dyn\CharacterHalfBody\Mysteriousbeast.png
宝藏守卫,3331,Textures/Atlas/Dyn/CharacterCommonHead/infectedadventurer.png,Textures\Atlas\Dyn\CharacterHalfBody\Infectedadventurer.png
被魔化的熊人,3332,Textures/Atlas/Dyn/CharacterCommonHead/BearWarrior.png,Textures\Atlas\Dyn\CharacterHalfBody\BearWarrior.png
,3334,Textures/Atlas/Dyn/CharacterCommonHead/CrazyMichel.png,Textures/Atlas/Dyn/CharacterHalfBody/CrazyMichel.png
,3335,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/PrairieRanger.png
荒漠鹿角兽,3336,Textures\Atlas\Dyn\CharacterCommonHead\Monsterdeer.png,Textures\Atlas\Dyn\CharacterHalfBody\Monsterdeer.png
魔斩鹿角兽,3337,Textures\Atlas\Dyn\CharacterCommonHead\CaptainDeer.png,Textures\Atlas\Dyn\CharacterHalfBody\captaindeerstalker.png
墓穴巨人,3338,Textures\Atlas\Dyn\CharacterCommonHead\SandGiant.png,Textures\Atlas\Dyn\CharacterHalfBody\Desertgiant.png
,3339,Textures/Atlas/Dyn/CharacterCommonHead/CrazyMichel.png,Textures/Atlas/Dyn/CharacterHalfBody/CrazyMichel.png
,3340,,Textures/Atlas/Dyn/CharacterHalfBody/Blackthorne.png
,3342,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/GoblinHead.png
,3343,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Flater.png
,3344,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Maleyouthempty.png
,3345,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
,3346,Textures/Atlas/Dyn/CharacterCommonHead/HeroPrairie.png,Textures\Atlas\Dyn\CharacterHalfBody\ElvenArcher.png
,3347,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
玫瑰团追随者,3350,Textures/Atlas/Dyn/CharacterCommonHead/HeroPrairie.png,Textures\Atlas\Dyn\CharacterHalfBody\PrairieRanger.png
蓝色半鱼人,3351,Textures/Atlas/Dyn/CharacterCommonHead/MonsterFish.png,Textures\Atlas\Dyn\CharacterHalfBody\MonsterFish.png
甜品大盗,3352,Textures/Atlas/Dyn/CharacterCommonHead/TribalWarrior.png,Textures\Atlas\Dyn\CharacterHalfBody\TribalWarrior.png
丛林偷猎者,3353,Textures/Atlas/Dyn/CharacterCommonHead/TribalWarrior.png,Textures\Atlas\Dyn\CharacterHalfBody\TribalWarrior.png
森林巨熊,3354,Textures/Atlas/Dyn/CharacterCommonHead/BearWarrior.png,Textures\Atlas\Dyn\CharacterHalfBody\BearWarrior.png
少女凯瑟琳,3355,,Textures\Atlas\Dyn\CharacterHalfBody\Travelereli.png
少女雷茜,3356,,Textures\Atlas\Dyn\CharacterHalfBody\TheballoongirlXiaoya.png
矮人小贩,3357,,Textures\Atlas\Dyn\CharacterHalfBody\Dwarfyellowbeard.png
子爵德福,3358,,Textures\Atlas\Dyn\CharacterHalfBody\MoritheEarl.png
冒险家小眼镜,3359,,Textures\Atlas\Dyn\CharacterHalfBody\Captainirving.png
矮巨人矿工,3360,,
守卫长雷加,3361,,
锤子团卢卡斯,3362,,
匿名的冒险者,3363,,Textures\Atlas\Dyn\CharacterHalfBody\Infectedadventurer.png
不知名的镇民,3364,,
龟小豆,3365,,Textures\Atlas\Dyn\CharacterHalfBody\Malezhengtaiturtle.png
龟族先知,3366,,Textures\Atlas\Dyn\CharacterHalfBody\ManOldmanturtle.png
大学士,3367,Textures/Atlas/Dyn/CharacterCommonHead/Nore.png,Textures\Atlas\Dyn\CharacterHalfBody\Nore.png
财政大臣,3368,Textures/Atlas/Dyn/CharacterCommonHead/Nore.png,Textures\Atlas\Dyn\CharacterHalfBody\Nore.png
,3369,Textures/Atlas/Dyn/CharacterCommonHead/HeroPrairie.png,Textures\Atlas\Dyn\CharacterHalfBody\PrairieRanger.png
,3372,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Minnie.png
,3373,Textures/Atlas/Dyn/CharacterCommonHead/EliteWarrio.png,Textures\Atlas\Dyn\CharacterHalfBody\TribaleliteWarrior.png
,3374,Textures/Atlas/Dyn/CharacterCommonHead/Headhammer.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
矿工,3375,,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3376,Textures/Atlas/Dyn/CharacterCommonHead/Youngmen.png,Textures/Atlas/Dyn/CharacterHalfBody/Youngmen.png
,3377,,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3378,,Textures\Atlas\Dyn\CharacterHalfBody\Spiritwar.png
,3379,,Textures\Atlas\Dyn\CharacterHalfBody\warspiritwar.png
,3380,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
米兰达（天空城）,3381,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\MiLanDa.png
,3382,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
弗莱特,3383,,Textures\Atlas\Dyn\CharacterHalfBody\Flater.png
岛民杰基,3384,,Textures\Atlas\Dyn\CharacterHalfBody\Malebirdraceyouth2.png
,3385,,Textures\Atlas\Dyn\CharacterHalfBody\Witheredbeequeen.png
米兰达（不冬岛）,3386,,Textures\Atlas\Dyn\CharacterHalfBody\MiLanDa.png
,3387,Textures/Atlas/Dyn/CharacterCommonHead/TribaleliteWarrior.png,Textures\Atlas\Dyn\CharacterHalfBody\TribaleliteWarrior.png
,3388,Textures/Atlas/Dyn/CharacterCommonHead/Uncle.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png
,3389,Textures/Atlas/Dyn/CharacterCommonHead/SilverShieldwar.png,Textures\Atlas\Dyn\CharacterHalfBody\SilverShieldwar.png
,3390,Textures/Atlas/Dyn/CharacterCommonHead/SilverShieldwar.png,Textures\Atlas\Dyn\CharacterHalfBody\SilverShieldwar.png
,3391,Textures/Atlas/Dyn/CharacterCommonHead/Apuff.png,Textures/Atlas/Dyn/CharacterHalfBody/default.png
,3392,,Textures/Atlas/Dyn/CharacterHalfBody/PrairieRanger.png
,3393,,Textures/Atlas/Dyn/CharacterHalfBody/Spiritwar.png
,3394,Textures\Atlas\Dyn\CharacterCommonHead\OusangBoyleAunt.png,Textures\Atlas\Dyn\CharacterHalfBody\OusangBoyleAunt.png
,3395,Textures/Atlas/Dyn/CharacterCommonHead/Uncle.png,Textures/Atlas/Dyn/CharacterHalfBody/Uncle.png
,3397,Textures/Atlas/Dyn/CharacterCommonHead/infectedadventurer.png,Textures\Atlas\Dyn\CharacterHalfBody\Infectedadventurer.png
,3398,Textures/Atlas/Dyn/CharacterCommonHead/TowerLeiYa.png,Textures\Atlas\Dyn\CharacterHalfBody\TowerLeiYa.png
,3399,Textures/Atlas/Dyn/CharacterCommonHead/DrLucy.png,Textures\Atlas\Dyn\CharacterHalfBody\DrLucy.png
,3400,Textures/Atlas/Dyn/CharacterCommonHead/FemaleOldempty.png,Textures\Atlas\Dyn\CharacterHalfBody\FemaleOldempty.png
,3401,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3402,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3403,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3404,Textures/Atlas/Dyn/CharacterCommonHead/Chancellor.png,Textures\Atlas\Dyn\CharacterHalfBody\Chancellor.png
,3405,Textures/Atlas/Dyn/CharacterCommonHead/Chancellor.png,Textures\Atlas\Dyn\CharacterHalfBody\Chancellor.png
,3406,Textures/Atlas/Dyn/CharacterCommonHead/Dwarfminer.png,Textures/Atlas/Dyn/CharacterHalfBody/WerewolfWarrior.png
,3407,Textures\Atlas\Dyn\CharacterCommonHead\Mysticalbeast.png,Textures\Atlas\Dyn\CharacterHalfBody\Mysteriousbeast.png
,3408,Textures/Atlas/Dyn/CharacterCommonHead/Nayaguard.png,Textures\Atlas\Dyn\CharacterHalfBody\Nayaguard.png
,3409,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
,3410,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Maleyouthempty.png
斗篷女盗贼,3411,Textures/Atlas/Dyn/CharacterCommonHead/robber.png,Textures\Atlas\Dyn\CharacterHalfBody\robber.png
,3412,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Hobgoblin.png
,3413,,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3414,,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3415,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/Deadwalking.png
,3416,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
,3417,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Mysteriousbeast.png
,3418,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/ArmedbearWarrior.png
,3419,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
,3420,Textures/Atlas/Dyn/CharacterCommonHead/Lacrimalman.png,Textures/Atlas/Dyn/CharacterHalfBody/Lacrimalman.png
,3421,Textures/Atlas/Dyn/CharacterCommonHead/Witchservant.png,Textures/Atlas/Dyn/CharacterHalfBody/LittleWitches.png
,3422,Textures\Atlas\Dyn\CharacterCommonHead\TheBardofMammon.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3423,Textures\Atlas\Dyn\CharacterCommonHead\TheBardofMammon.png,Textures\Atlas\Dyn\CharacterHalfBody\Witchmoor.png
,3424,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
,3425,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
,3426,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\HarmontheOgre.png
,3427,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Travelereli.png
,3428,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Infectedadventurer.png
,3429,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\captaindeerstalker.png
,3430,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Commandershortgiant.png
军需官伊利斯,3431,Textures/Atlas/Dyn/CharacterCommonHead/Elves.png,Textures\Atlas\Dyn\CharacterHalfBody\eldersofdarkelves.png
,3432,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Jboshinormal.png
,3433,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/ManOldmanturtle.png
,3434,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/Malezhengtaiturtle.png
,3435,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/Malezhengtaiturtle.png
,3436,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/Mermaid.png
,3437,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
,3438,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Nest.png
,3439,Textures/Atlas/Dyn/CharacterCommonHead/Girllolie.png,Textures/Atlas/Dyn/CharacterHalfBody/Girllolie.png
,3440,Textures/Atlas/Dyn/CharacterCommonHead/Witchwilderness.png,Textures/Atlas/Dyn/CharacterHalfBody/Witchmoor.png
,3441,Textures/Atlas/Dyn/CharacterCommonHead/XiBo.png,Textures/Atlas/Dyn/CharacterHalfBody/Tinwave.png
,3442,Textures/Atlas/Dyn/CharacterCommonHead/Girllolie.png,Textures/Atlas/Dyn/CharacterHalfBody/DrLucy.png
哈扎克,3443,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Hazak.png
,3446,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3447,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Uncle.png
,3448,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\TheBardofMammon.png
,3449,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/MiddleEastmale.png
,3450,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3452,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3453,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3454,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3455,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3456,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3457,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/GuardwarlordSalin.png
,3458,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3459,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3460,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3461,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3463,Textures\Atlas\Dyn\CharacterCommonHead\Travelereli.png,Textures\Atlas\Dyn\CharacterHalfBody\Travelereli.png
,3467,,Textures\Atlas\Dyn\CharacterHalfBody\ElfWarrior.png
,3468,Textures/Atlas/Dyn/CharacterCommonHead/EliteWarrio.png,Textures/Atlas/Dyn/CharacterHalfBody/TribaleliteWarrior.png
,3469,,Textures\Atlas\Dyn\CharacterHalfBody\warspiritwar.png
,3471,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\HaZaKe.png
,3472,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures/Atlas/Dyn/CharacterHalfBody/MoneyColombo.png
,3473,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Chiefdruid.png
,3474,Textures/Atlas/Dyn/CharacterCommonHead/Headhammer.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
,3475,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures/Atlas/Dyn/CharacterHalfBody/Completelytransparent.png
,3476,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Zombiemaster.png
狂化阿噗,3478,Textures/Atlas/Dyn/CharacterCommonHead/CrazyMichel.png,Textures\Atlas\Dyn\CharacterHalfBody\CrazyMichel.png
巡查官乌迪本坦,3479,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\eldersofdarkelves.png
,3480,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\Joey.png
,3481,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\Completelytransparent.png
,3482,Textures\Atlas\Dyn\CharacterCommonHead\AndrewBlack.png,Textures\Atlas\Dyn\CharacterHalfBody\AndrewBlack.png
