,required,required,required,required,repeated,required,required,required,required,required,required,required,required,required,required
,200457,浮士德72,0,0,1000760,0,0,0,0,0,0,600000,0,0,0
,200458,枭鹰队长奥卡妮,0,0,1000607,0,0,0,0,0,0,600000,0,0,0
,200459,混沌魔魂,0,0,1000761,0,0,0,0,0,0,600000,0,0,0
,200460,觉醒魔魂,0,0,1000762,0,0,0,0,0,0,600000,0,0,0
,200461,赤焰狼王,0,0,1000763,0,0,0,0,0,0,600000,0,0,0
,200462,惩戒屠夫,0,0,1000764,0,0,0,0,0,0,600000,0,0,0
,200463,炼狱之主,0,0,1000765,0,0,0,0,0,0,600000,0,0,0
,200464,主宰的魔族亡者,25000,0,1000766,0,0,0,0,0,0,600000,0,0,0
,200465,湮灭的魔族亡者,30000,0,1000767,0,0,0,0,0,0,600000,0,0,0
,200466,孤狼傀儡,0,0,1000768,0,0,0,0,0,0,600000,0,0,0
,200467,梦魇白狼,0,0,1000769,0,0,0,0,0,0,600000,0,0,0
,200468,贪狼暴君,0,0,1000770,0,0,0,0,0,0,600000,0,0,0
,200469,机械毁灭者,260000,0,1000772,0,0,0,0,0,0,600000,0,1,0
,200470,虚拟愤怒,300000,0,1000773,0,0,0,0,0,0,600000,0,1,0
,200471,黑魔法师索尼迪,90000,0,1000774,0,0,0,0,0,0,600000,0,0,0
,200472,暗精灵不死者,60000,0,1000775,0,0,0,0,0,0,600000,0,1,0
,200473,暗魂使徒,72000,0,1000776,0,0,0,0,0,0,600000,0,1,0
,200474,黑色蔷薇费玛,29000,0,1000777,0,0,0,0,0,0,600000,0,0,0
,200475,食人魔卡欧,32000,0,1000778,0,0,0,0,0,0,600000,0,0,0
,200476,鹿角兽改造体,331000,0,1000779,0,0,0,0,0,0,600000,0,0,0
,200477,荒漠巨人,100000,0,1000780,0,0,0,0,0,0,600000,0,0,0
,200478,默希娅,187000,0,1000781,0,0,0,0,0,0,600000,0,0,0
,200479,斯塔克蝎魔,35000,0,1000782,0,0,0,0,0,0,600000,0,0,0
,200480,咆哮掠夺者,45000,0,1000783,0,0,0,0,0,0,600000,0,0,0
,200481,掠夺暴君,48000,0,1000784,0,0,0,0,0,0,600000,0,0,0
,200482,战舰守卫者,231000,0,1000785,0,0,0,0,0,0,600000,0,0,0
,200483,狼蛛女卡莎莉,279000,0,1000805,0,0,0,0,0,0,600000,0,0,0
,200484,石像鬼之魂,164000,0,1000806,0,0,0,0,0,0,600000,0,0,0
,200485,女巫孤魂,135000,0,1000807,0,0,0,0,0,0,600000,0,0,0
,200486,无魂假面,20000,0,1000808,0,0,0,0,0,0,600000,0,1,0
,200487,失魂人偶,20000,0,1000809,0,0,0,0,0,0,600000,0,1,0
,200488,蛊惑女王,20000,0,1000810,0,0,0,0,0,0,600000,0,1,0
,200489,锤子团战士,48000,0,1000811,0,0,0,0,0,0,600000,0,0,0
,200490,地洞巨灵,59000,0,1000815,0,0,0,0,0,0,600000,0,0,0
,200491,野蛮死士,2000,0,1000812,0,0,0,0,0,0,600000,0,1,0
,200492,嗜血精英,2000,0,1000813,0,0,0,0,0,0,600000,0,1,0
,200493,部落首领,2000,0,1000814,0,0,0,0,0,0,600000,0,1,0
,200494,最强生物兵器索亚,204000,0,1000816,0,0,0,0,0,0,600000,0,0,0
,200499,荒漠异蝎,0,0,1000821,0,0,0,0,0,0,600000,0,0,0
,200500,雾夜女巫,0,0,1000822,0,0,0,0,0,0,600000,0,0,0
,200501,幽冥鬼煞,0,0,1000823,0,0,0,0,0,0,600000,0,0,0
,200502,魅影幻像,0,0,1000824,0,0,0,0,0,0,600000,0,0,0
,200503,极渊领主,0,0,1000825,0,0,0,0,0,0,600000,0,0,0
,200504,荒漠异蝎,0,0,1000826,0,0,0,0,0,0,600000,0,0,0
,200505,雾夜女巫,0,0,1000827,0,0,0,0,0,0,600000,0,0,0
,200506,幽冥鬼煞,0,0,1000828,0,0,0,0,0,0,600000,0,0,0
,200507,魅影幻像,0,0,1000829,0,0,0,0,0,0,600000,0,0,0
,200508,极渊领主,0,0,1000830,0,0,0,0,0,0,600000,0,0,0
,200509,荒漠异蝎,0,0,1000836,0,0,0,0,0,0,600000,0,0,0
,200510,雾夜女巫,0,0,1000837,0,0,0,0,0,0,600000,0,0,0
,200511,幽冥鬼煞,0,0,1000838,0,0,0,0,0,0,600000,0,0,0
,200512,魅影幻像,0,0,1000839,0,0,0,0,0,0,600000,0,0,0
,200513,极渊领主,0,0,1000840,0,0,0,0,0,0,600000,0,0,0
,200514,荒漠异蝎,0,0,1000841,0,0,0,0,0,0,600000,0,0,0
,200515,雾夜女巫,0,0,1000842,0,0,0,0,0,0,600000,0,0,0
,200516,幽冥鬼煞,0,0,1000843,0,0,0,0,0,0,600000,0,0,0
,200517,魅影幻像,0,0,1000844,0,0,0,0,0,0,600000,0,0,0
,200518,极渊领主,0,0,1000845,0,0,0,0,0,0,600000,0,0,0
,200519,荒漠异蝎,0,0,1000846,0,0,0,0,0,0,600000,0,0,0
,200520,雾夜女巫,0,0,1000847,0,0,0,0,0,0,600000,0,0,0
,200521,幽冥鬼煞,0,0,1000848,0,0,0,0,0,0,600000,0,0,0
,200522,魅影幻像,0,0,1000849,0,0,0,0,0,0,600000,0,0,0
,200523,极渊领主,0,0,1000850,0,0,0,0,0,0,600000,0,0,0
,200524,荒漠异蝎,0,0,1000851,0,0,0,0,0,0,600000,0,0,0
,200525,雾夜女巫,0,0,1000852,0,0,0,0,0,0,600000,0,0,0
,200526,幽冥鬼煞,0,0,1000853,0,0,0,0,0,0,600000,0,0,0
,200527,魅影幻像,0,0,1000854,0,0,0,0,0,0,600000,0,0,0
,200528,极渊领主,0,0,1000855,0,0,0,0,0,0,600000,0,0,0
,200529,荒漠异蝎,0,0,1000856,0,0,0,0,0,0,600000,0,0,0
,200530,雾夜女巫,0,0,1000857,0,0,0,0,0,0,600000,0,0,0
,200531,幽冥鬼煞,0,0,1000858,0,0,0,0,0,0,600000,0,0,0
,200532,魅影幻像,0,0,1000859,0,0,0,0,0,0,600000,0,0,0
,200533,极渊领主,0,0,1000860,0,0,0,0,0,0,600000,0,0,0
,200534,荒漠异蝎,0,0,1000861,0,0,0,0,0,0,600000,0,0,0
,200535,雾夜女巫,0,0,1000862,0,0,0,0,0,0,600000,0,0,0
,200536,幽冥鬼煞,0,0,1000863,0,0,0,0,0,0,600000,0,0,0
,200537,魅影幻像,0,0,1000864,0,0,0,0,0,0,600000,0,0,0
,200538,极渊领主,0,0,1000865,0,0,0,0,0,0,600000,0,0,0
,200539,荒漠异蝎,0,0,1000866,0,0,0,0,0,0,600000,0,0,0
,200540,雾夜女巫,0,0,1000867,0,0,0,0,0,0,600000,0,0,0
,200541,幽冥鬼煞,0,0,1000868,0,0,0,0,0,0,600000,0,0,0
,200542,魅影幻像,0,0,1000869,0,0,0,0,0,0,600000,0,0,0
,200543,极渊领主,0,0,1000870,0,0,0,0,0,0,600000,0,0,0
,200544,荒漠异蝎,0,0,1000959,0,0,0,0,0,0,600000,0,0,0
,200545,雾夜女巫,0,0,1000960,0,0,0,0,0,0,600000,0,0,0
,200546,幽冥鬼煞,0,0,1000961,0,0,0,0,0,0,600000,0,0,0
,200547,魅影幻像,0,0,1000962,0,0,0,0,0,0,600000,0,0,0
,200548,极渊领主,0,0,1000963,0,0,0,0,0,0,600000,0,0,0
,200549,荒漠异蝎,0,0,1000964,0,0,0,0,0,0,600000,0,0,0
,200550,雾夜女巫,0,0,1000965,0,0,0,0,0,0,600000,0,0,0
,200551,幽冥鬼煞,0,0,1000966,0,0,0,0,0,0,600000,0,0,0
,200552,魅影幻像,0,0,1000967,0,0,0,0,0,0,600000,0,0,0
,200553,极渊领主,0,0,1000968,0,0,0,0,0,0,600000,0,0,0
,200554,荒漠异蝎,0,0,1000974,0,0,0,0,0,0,600000,0,0,0
,200555,雾夜女巫,0,0,1000975,0,0,0,0,0,0,600000,0,0,0
,200556,幽冥鬼煞,0,0,1000976,0,0,0,0,0,0,600000,0,0,0
,200557,魅影幻像,0,0,1000977,0,0,0,0,0,0,600000,0,0,0
,200558,极渊领主,0,0,1000978,0,0,0,0,0,0,600000,0,0,0
,200559,荒漠异蝎,0,0,1000969,0,0,0,0,0,0,600000,0,0,0
,200560,雾夜女巫,0,0,1000970,0,0,0,0,0,0,600000,0,0,0
,200561,幽冥鬼煞,0,0,1000971,0,0,0,0,0,0,600000,0,0,0
,200562,魅影幻像,0,0,1000972,0,0,0,0,0,0,600000,0,0,0
,200563,极渊领主,0,0,1000973,0,0,0,0,0,0,600000,0,0,0
,200564,荒漠异蝎,0,0,1000979,0,0,0,0,0,0,600000,0,0,0
,200565,雾夜女巫,0,0,1000980,0,0,0,0,0,0,600000,0,0,0
,200566,幽冥鬼煞,0,0,1000981,0,0,0,0,0,0,600000,0,0,0
,200567,魅影幻像,0,0,1000982,0,0,0,0,0,0,600000,0,0,0
,200568,极渊领主,0,0,1000983,0,0,0,0,0,0,600000,0,0,0
,200569,荒漠异蝎,0,0,1000871,0,0,0,0,0,0,600000,0,0,0
,200570,雾夜女巫,0,0,1000872,0,0,0,0,0,0,600000,0,0,0
,200571,幽冥鬼煞,0,0,1000873,0,0,0,0,0,0,600000,0,0,0
,200572,魅影幻像,0,0,1000874,0,0,0,0,0,0,600000,0,0,0
,200573,极渊领主,0,0,1000875,0,0,0,0,0,0,600000,0,0,0
,200574,荒漠异蝎,0,0,1000876,0,0,0,0,0,0,600000,0,0,0
,200575,雾夜女巫,0,0,1000877,0,0,0,0,0,0,600000,0,0,0
,200576,幽冥鬼煞,0,0,1000878,0,0,0,0,0,0,600000,0,0,0
,200577,魅影幻像,0,0,1000879,0,0,0,0,0,0,600000,0,0,0
,200578,极渊领主,0,0,1000880,0,0,0,0,0,0,600000,0,0,0
,200617,主宰的魔族亡者,0,0,1000922,0,0,0,0,0,0,600000,0,0,0
,200618,湮灭的魔族亡者,0,0,1000923,0,0,0,0,0,0,600000,0,0,0
,200619,觉醒的魔族亡者,0,0,1000924,0,0,0,0,0,0,600000,0,0,0
,200620,破败的魔族亡者,0,0,1000925,0,0,0,0,0,0,600000,0,0,0
,200621,堕落的冒险者,0,0,1000926,0,0,0,0,0,0,600000,0,0,0
,200622,鹿角兽巡逻兵,0,0,1000927,0,0,0,0,0,0,600000,0,0,0
,200623,鹿角兽指挥官,0,0,1000930,0,0,0,0,0,0,600000,0,0,0
,200625,鹿角兽巡逻兵,0,0,1000928,0,0,0,0,0,0,600000,0,0,0
,200626,鹿角兽巡逻兵,0,0,1000927,0,0,0,0,0,0,600000,0,0,0
,200627,鹿角兽指挥官,0,0,1000929,0,0,0,0,0,0,600000,0,0,0
,200628,鹿角兽巡逻兵,0,0,1000927,0,0,0,0,0,0,600000,0,0,0
,200629,鹿角兽巡逻兵,0,0,1000928,0,0,0,0,0,0,600000,0,0,0
,200643,哥布林刺客,0,0,1000937,0,0,0,0,0,0,600000,0,0,0
,200644,哥布林战士,0,0,1000938,0,0,0,0,0,0,600000,0,0,0
,200645,哥布林哨兵,0,0,1000939,0,0,0,0,0,0,600000,0,0,0
,200646,狂化哥布林,0,0,1000940,0,0,0,0,0,0,600000,0,0,0
,200647,严谨的黑铠战卫,0,0,1000954,0,0,0,0,0,0,600000,0,0,0
,200648,执着的黑铠战卫,0,0,1000955,0,0,0,0,0,0,600000,0,0,0
,200649,萨米尔仿造体,116000,0,1000771,0,0,0,0,0,0,600000,0,0,0
,200663,严谨的黑铠战卫,0,0,1000954,0,0,0,0,0,0,600000,0,0,0
,200664,执着的黑铠战卫,0,0,1000955,0,0,0,0,0,0,600000,0,0,0
,200665,严谨的黑铠战卫,0,0,1000954,0,0,0,0,0,0,600000,0,0,0
,200666,执着的黑铠战卫,0,0,1000955,0,0,0,0,0,0,600000,0,0,0
,200675,狂妄的恶狼盗匪,1,0,1000992,0,0,0,0,0,0,600000,0,1,0
,200676,勤恳的萤熊佣兵,1,0,1000993,0,0,0,0,0,0,600000,0,1,0
,200677,贪婪的恶狼盗匪,1,0,1000994,0,0,0,0,0,0,600000,0,0,0
,200678,狂妄的恶狼盗匪,1,0,1000995,0,0,0,0,0,0,600000,0,1,0
,200679,勤恳的萤熊佣兵,1,0,1000996,0,0,0,0,0,0,600000,0,1,0
,200680,狂妄的恶狼盗匪,1,0,1000997,0,0,0,0,0,0,600000,0,1,0
,200681,勤恳的萤熊佣兵,1,0,1000998,0,0,0,0,0,0,600000,0,1,0
,200682,异化强化体,1,0,1001131,0,0,0,0,0,0,600000,0,1,0
,200683,异化强化体,1,0,1001132,0,0,0,0,0,0,600000,0,1,0
,200684,堕魔法师,1,0,1001133,0,0,0,0,0,0,600000,0,0,0
,200685,狂化者布拉依,1,0,1001134,0,0,0,0,0,0,600000,0,1,0
,200686,失落改造人,1,0,1001135,0,0,0,0,0,0,600000,0,1,0
,200687,失落改造人,1,0,1001136,0,0,0,0,0,0,600000,0,1,0
丛林开膛手,300021,丛林开膛手,80000,0,1001001,0,0,0,0,6000095,0,600000,0,0,0
食人魔·哈蒙,300022,食人酋长布鲁,80000,0,1001002,0,0,0,0,6000095,0,600000,0,0,0
先驱者1号,300025,先驱者1号,80000,0,1001005,0,0,0,0,6000095,0,600000,0,0,0
寄居熊,300026,北境战师贝尔沃,80000,0,1001006,0,0,0,0,6000095,0,600000,0,0,0
怒鳍半鱼人,300027,怒鳍半鱼人,80000,0,1001007,0,0,0,0,6000095,0,600000,0,0,0
扭曲丧尸,300028,扭曲丧尸,80000,0,1001008,0,0,0,0,6000095,0,600000,0,0,0
北方暴君纳森,300029,北方暴君纳森,80000,0,1001009,0,0,0,0,6000095,0,600000,0,0,0
毒蝎领主维克,300032,毒蝎领主维克,80000,0,1001012,0,0,0,0,6000095,0,600000,0,0,0
山岩领主蒙多,300043,山岩领主蒙多,80000,0,1001023,0,0,0,0,6000095,0,600000,0,0,0
半鱼人,300045,半鱼人,60000,0,1001025,0,0,0,0,6000094,0,600000,0,0,0
小鱼龙,300046,刺戟半鱼人,60000,0,1001026,0,0,0,0,6000094,0,600000,0,0,0
感染的冒险者,300047,红袭盗匪,60000,0,1001027,0,0,0,0,6000094,0,600000,0,0,0
泪目狼人,300048,雪狼刃兵,60000,0,1001028,0,0,0,0,6000094,0,600000,0,0,0
神秘兽,300049,角蜥人,60000,0,1001029,0,0,0,0,0,0,600000,0,0,0
黑甲虫,300050,大王甲虫,60000,0,1001030,0,0,0,0,0,0,600000,0,0,0
绿林花妖,300051,血藤卡莎莉,80000,0,1001031,0,0,0,0,6000095,0,600000,0,0,0
红甲虫,300053,雾血甲虫,60000,0,1001033,0,0,0,0,0,0,600000,0,0,0
滚石怪,300073,滚石怪,60000,0,1001097,0,0,0,0,6000094,0,600000,0,0,0
宝箱怪,300074,噬人箱,60000,0,1001098,0,0,0,0,6000094,0,600000,0,0,0
不死丧尸,300075,不死丧尸,60000,0,1001099,0,0,0,0,6000094,0,600000,0,0,0
受惊的僵尸,300076,诡烈僵尸,60000,0,1000100,0,0,0,0,6000094,0,600000,0,0,0
要塞守卫官,300078,重锤卫队,60000,0,1000102,0,0,0,0,6000094,0,600000,0,0,0
金钱哥布林,300086,金钱哥布林,40000,0,1000116,0,0,0,0,0,0,600000,0,0,0
山岩巨兽·塞恩,300087,山岩巨兽·塞恩,40000,0,1000117,0,0,0,0,0,0,600000,0,0,0
深渊鱼王,300088,深渊鱼王,40000,0,1000118,0,0,0,0,0,0,600000,0,0,0
重装甲暴熊,300089,重装甲暴熊,40000,0,1000119,0,0,0,0,0,0,600000,0,0,0
战魂之主,300090,战魂之主,40000,0,1000120,0,0,0,0,0,0,600000,0,0,0
,300096,丛林开膛手,49000,0,1000156,0,0,0,0,0,0,600000,0,0,0
,300097,鹿角兽,49000,0,1000157,0,0,0,0,0,0,600000,0,0,0
,300098,森林熊,51000,0,1000158,0,0,0,0,0,0,600000,0,0,0
,300099,加希诺,49000,0,1000159;9000148,0,0,0,0,0,0,600000,0,0,0
,300100,枯叶蜂王,53000,0,1000160,0,0,0,0,0,0,600000,0,0,0
,300101,强盗艾莉,45000,0,1000166,0,0,0,0,0,0,600000,0,1,0
,300102,强盗瑞秋,45000,0,1000167,0,0,0,0,0,0,600000,0,1,0
,300103,强盗头目巴娜,45000,0,1000168,0,0,0,0,0,0,600000,0,0,0
,300104,强盗丽丽丝,45000,0,1000169,0,0,0,0,0,0,600000,0,0,0
武装狼人,300105,苍白獠牙塞特,80000,0,1000203,0,0,0,0,6000095,0,600000,0,0,0
部落精英战士,300106,巨斧屠夫曼达,80000,0,1000204,0,0,0,0,6000095,0,600000,0,0,0
绝世舞姬,300107,刃牙姬希莉恩,80000,0,1000205,0,0,0,0,6000095,0,600000,0,0,0
要塞守卫官,300108,锤卫先锋马哈德,80000,0,1000206,0,0,0,0,6000095,0,600000,0,0,0
锤子团首领,300109,锤卫战将贾布尔,80000,0,1000207,0,0,0,0,6000095,0,600000,0,0,0
沙漠巨人,300110,灰岩巨灵托卜,80000,0,1000208,0,0,0,0,6000095,0,600000,0,0,0
枯叶蜂蜂王,300111,血叶蜂后菲莉恩,80000,0,1000209,0,0,0,0,6000095,0,600000,0,0,0
黑色荆棘,300112,黑荆棘伊瓦莉娅,80000,0,1000210,0,0,0,0,6000095,0,600000,0,0,0
暗黑战魂,300113,游魂狂战奥克兰,80000,0,1000211,0,0,0,0,6000095,0,600000,0,0,0
嗜血战魂,300114,游魂战将古拉特,80000,0,1000212,0,0,0,0,6000095,0,600000,0,0,0
部落战士,300115,丛林偷猎者,60000,0,1000213,0,0,0,0,6000094,0,600000,0,0,0
女巫仆从,300117,妖灵女仆,60000,0,1000215,0,0,0,0,6000094,0,600000,0,0,0
卡司族阿噗,300118,灰狐族卫,60000,0,1000216,0,0,0,0,6000094,0,600000,0,0,0
草原蝎子,300119,毒尾蝎,60000,0,1000217,0,0,0,0,6000094,0,600000,0,0,0
民工鹿角兽,300120,猎战鹿角兽,60000,0,1000218,0,0,0,0,6000094,0,600000,0,0,0
枯叶工蜂,300121,赤叶蜂,60000,0,1000219,0,0,0,0,6000094,0,600000,0,0,0
萤火熊,300122,蓝晶熊,60000,0,1000220,0,0,0,0,6000094,0,600000,0,0,0
A型感染者,300123,异刃丧尸,60000,0,1000221,0,0,0,0,6000094,0,600000,0,0,0
受惊的僵尸,300124,诡焰尸人,60000,0,1000222,0,0,0,0,6000094,0,600000,0,0,0
僵尸妈妈,300125,幽刃丧尸,60000,0,1000223,0,0,0,0,6000094,0,600000,0,0,0
战魂之殇,300126,游魂重甲卫,60000,0,1000224,0,0,0,0,6000094,0,600000,0,0,0
,300127,矮巨人王黎恩特,80000,0,1000225,0,0,0,0,6000095,0,600000,0,0,0
,300128,矿卫矮巨人,60000,0,1000226,0,0,0,0,6000094,0,600000,0,0,0
魔导箱守卫萨泽,300130,魔导箱守卫萨泽,100000,0,1000228,0,0,0,0,0,0,600000,0,0,0
魔导箱守卫波尔,300131,魔导箱守卫波尔,105000,0,1000229,0,0,0,0,0,0,600000,0,0,0
魔导箱守卫普坦,300132,魔导箱守卫普坦,140000,0,1000230,0,0,0,0,0,0,600000,0,0,0
魔导箱守卫伊登,300133,魔导箱守卫伊登,100000,0,1000261,0,0,0,0,0,0,600000,0,0,0
魔导箱守卫哈伦,300134,魔导箱守卫哈伦,105000,0,1000262,0,0,0,0,0,0,600000,0,0,0
魔导箱守卫科克,300135,魔导箱守卫科克,140000,0,1000263,0,0,0,0,0,0,600000,0,0,0
,300137,黑荆棘伊瓦莉娅,80000,0,1000279,0,0,0,0,6000095,0,600000,0,0,0
,300138,血叶蜂后菲莉恩,80000,0,1000280,0,0,0,0,6000095,0,600000,0,0,0
,300139,死灵法师桑德士,80000,0,1000281,0,0,0,0,6000095,0,600000,0,0,0
,300140,巨斧屠夫曼达,80000,0,1000282,0,0,0,0,6000095,0,600000,0,0,0
,300141,苍白獠牙塞特,80000,0,1000283,0,0,0,0,6000095,0,600000,0,0,0
,300142,刃牙姬希莉恩,80000,0,1000284,0,0,0,0,6000095,0,600000,0,0,0
,300143,隐叶猎手,60000,0,1000285,0,0,0,0,6000094,0,600000,0,0,0
,300144,巨骨熊,60000,0,1000286,0,0,0,0,6000094,0,600000,0,0,0
,300145,游魂先锋军,60000,0,1000287,0,0,0,0,6000094,0,600000,0,0,0
,300147,游魂狂战奥克兰,80000,0,1000368,0,0,0,0,6000095,0,600000,0,0,0
,300148,野蛮孤狼,60000,0,1000369,0,0,0,0,6000094,0,600000,0,0,0
,300149,枭鹰族长雷娜,0,0,1000566,0,0,0,0,6000095,0,600000,0,0,0
,300150,岩壁巨人哈默,0,0,1000567,0,0,0,0,6000095,0,600000,0,0,0
,300151,暗夜曼陀罗梅纳,0,0,1000568,0,0,0,0,6000095,0,600000,0,0,0
,300153,森林暴君亨克,0,0,1000570,0,0,0,0,6000095,0,600000,0,0,0
,300154,海啸鳍盔,0,0,1000571,0,0,0,0,6000095,0,600000,0,0,0
,300155,炎息半鱼人,0,0,1000572,0,0,0,0,6000095,0,600000,0,0,0
,300156,绯红玫瑰芙罗瓦,0,0,1000573,0,0,0,0,6000095,0,600000,0,0,0
,300157,森林战熊加洛,0,0,1000574,0,0,0,0,6000095,0,600000,0,0,0
,300158,黑龙翼队长埃尔南,0,0,1000575,0,0,0,0,6000095,0,600000,0,0,0
,300159,掠夺行刑官苏尼戈,0,0,1000576,0,0,0,0,6000095,0,600000,0,0,0
,300160,橙翼蜂王妮科,0,0,1000577,0,0,0,0,6000095,0,600000,0,0,0
,300161,荒岩主宰马莱因,0,0,1000578,0,0,0,0,6000095,0,600000,0,0,0
,300162,丛林狂剑士,0,0,1000579,0,0,0,0,6000094,0,600000,0,0,0
,300163,恶蝠魔箱,0,0,1000580,0,0,0,0,6000094,0,600000,0,0,0
,300164,石心怪,0,0,1000581,0,0,0,0,6000094,0,600000,0,0,0
,300165,嗜血魔狐,0,0,1000582,0,0,0,0,6000094,0,600000,0,0,0
,300166,纹鳞半鱼人,0,0,1000583,0,0,0,0,6000094,0,600000,0,0,0
,300167,黑龙翼兵,0,0,1000584,0,0,0,0,6000094,0,600000,0,0,0
,300168,掠夺者,0,0,1000585,0,0,0,0,6000094,0,600000,0,0,0
,300169,荒野赤狐,0,0,1000586,0,0,0,0,6000094,0,600000,0,0,0
,300170,黑背暴熊,0,0,1000587,0,0,0,0,6000094,0,600000,0,0,0
,300171,褐尾蝎,0,0,1000588,0,0,0,0,6000094,0,600000,0,0,0
,300172,金瞳胡蜂,0,0,1000589,0,0,0,0,6000094,0,600000,0,0,0
,300173,禁林弓兵,0,0,1000590,0,0,0,0,6000094,0,600000,0,0,0
,300174,禁林剑卫,0,0,1000591,0,0,0,0,6000094,0,600000,0,0,0
,300176,拾荒者,0,0,1000786,0,0,0,0,6000180,0,600000,0,0,0
,300177,黑龙先锋兵,0,0,1000787,0,0,0,0,6000180,0,600000,0,0,0
,300178,夜栖熊,0,0,1000788,0,0,0,0,6000180,0,600000,0,0,0
,300179,赤瞳妖狐,0,0,1000789,0,0,0,0,6000180,0,600000,0,0,0
,300180,堕落强盗,0,0,1000790,0,0,0,0,6000180,0,600000,0,0,0
,300181,金属战士,0,0,1000791,0,0,0,0,6000180,0,600000,0,0,0
,300182,暗影毒蜂卡洛琳,0,0,1000792,0,0,0,0,6000181,0,600000,0,0,0
,300183,黑龙统领泰瑞,0,0,1000793,0,0,0,0,6000181,0,600000,0,0,0
,300184,金辉战士伊恩,0,0,1000794,0,0,0,0,6000181,0,600000,0,0,0
,300185,扬博士·完美生化人,0,0,1000795,0,0,0,0,6000181,0,600000,0,0,0
,300186,血曜蝎魔,0,0,1000796,0,0,0,0,6000181,0,600000,0,0,0
,300187,食人魔肖恩,0,0,1000797,0,0,0,0,6000181,0,600000,0,0,0
,300188,荒野之王奥拉克,0,0,1000798,0,0,0,0,6000181,0,600000,0,0,0
,300189,暗影支配者斯兰,0,0,1000799,0,0,0,0,6000181,0,600000,0,0,0
,300190,蛮荒猎人卡斯亚,0,0,1000800,0,0,0,0,6000181,0,600000,0,0,0
,300191,赤血熊人,0,0,1000801,0,0,0,0,6000181,0,600000,0,0,0
,300192,辉红先驱者,0,0,1000802,0,0,0,0,6000181,0,600000,0,0,0
,300193,守夜者库兹,0,0,1000803,0,0,0,0,6000181,0,600000,0,0,0
,300194,强袭先驱者,0,0,1000804,0,0,0,0,6000181,0,600000,0,0,0
,400004,赤瞳战狼,0,0,1000111,500,500,500,500,1000001,0,600000,0,1,0
,400005,赤瞳战狼,0,0,1000111,1000,1000,1000,1000,1000002,0,600000,0,1,0
,400006,赤瞳战狼,0,0,1000111,200,200,200,200,1000003,0,600000,0,1,0
,400007,碎魂狼王,0,0,1000113,0,0,0,0,1000001,0,600000,0,0,0
,400008,碎魂狼王,0,0,1000113,0,0,0,0,1000002,0,600000,0,0,0
,400009,碎魂狼王,0,0,1000113,0,0,0,0,1000003,0,600000,0,0,0
,400015,贪婪,0,0,10031,0,0,0,0,0,0,600000,0,0,0
,400016,怪物种族0,0,0,1000515,0,0,0,0,0,0,600000,0,0,0
,400017,怪物种族1,0,0,1000516,0,0,0,0,0,0,600000,0,0,0
,400018,怪物种族2,0,0,1000517,0,0,0,0,0,0,600000,0,0,0
,400019,怪物种族3,0,0,1000518,0,0,0,0,0,0,600000,0,0,0
,400020,怪物种族4,0,0,1000519,0,0,0,0,0,0,600000,0,0,0
,400021,怪物种族5,0,0,1000520,0,0,0,0,0,0,600000,0,0,0
,400022,怪物种族6,0,0,1000521,0,0,0,0,0,0,600000,0,0,0
,400023,怪物种族7,0,0,1000522,0,0,0,0,0,0,600000,0,0,0
,800000,蝎怪,1,1,1000334,0,0,0,0,0,0,300000,0,0,0
,800001,黑暗法师,1,2,1000335,0,0,0,0,0,0,300000,0,0,0
,800002,大女巫,1,3,1000336,0,0,0,0,0,0,300000,0,0,0
,800003,贪婪,1,4,1000337,0,0,0,0,0,0,300000,0,0,0
,800004,黑色荆棘,1,1,1000338,0,0,0,0,0,0,300000,0,0,0
,800005,绝世舞姬,1,2,1000339,0,0,0,0,0,0,300000,0,0,0
,800006,萨米尔,1,3,1000340,0,0,0,0,0,0,300000,0,0,0
,800007,默希娅,1,4,1000341,0,0,0,0,0,0,300000,0,0,0
,800008,蝎怪,1,1,1000342,0,0,0,0,0,0,300000,0,0,0
,800009,黑暗法师,1,2,1000343,0,0,0,0,0,0,300000,0,0,0
,800010,大女巫,1,3,1000344,0,0,0,0,0,0,300000,0,0,0
,800011,贪婪,1,4,1000345,0,0,0,0,0,0,300000,0,0,0
,800012,黑色荆棘,1,1,1000346,0,0,0,0,0,0,300000,0,0,0
,800013,绝世舞姬,1,2,1000347,0,0,0,0,0,0,300000,0,0,0
,800014,萨米尔,1,3,1000348,0,0,0,0,0,0,300000,0,0,0
,800015,默希娅,1,4,1000349,0,0,0,0,0,0,300000,0,0,0
,800016,蝎怪,1,1,1000350,0,0,0,0,0,0,300000,0,0,0
,800017,黑暗法师,1,2,1000351,0,0,0,0,0,0,300000,0,0,0
,800018,大女巫,1,3,1000352,0,0,0,0,0,0,300000,0,0,0
,800019,贪婪,1,4,1000353,0,0,0,0,0,0,300000,0,0,0
,800020,黑色荆棘,1,1,1000354,0,0,0,0,0,0,300000,0,0,0
,800021,绝世舞姬,1,2,1000355,0,0,0,0,0,0,300000,0,0,0
,800022,萨米尔,1,3,1000356,0,0,0,0,0,0,300000,0,0,0
,800023,默希娅,1,4,1000357,0,0,0,0,0,0,300000,0,0,0
,800024,蝎怪,1,1,1000358,0,0,0,0,0,0,300000,0,0,0
,800025,黑暗法师,1,2,1000359,0,0,0,0,0,0,300000,0,0,0
,800026,大女巫,1,3,1000360,0,0,0,0,0,0,300000,0,0,0
