,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,repeated,optional,optional,repeated,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
每层使暴击率提升1%，持续到本轮攻击结束。可叠加，最多12层。,410103,,4101,1,0,0,23,1,0,10000,0,0,12,0,,0,0,0,0,13,100,0,0,0,0,0,0
持续损失一定生命值，持续到本轮攻击结束。不可叠加。,410201,,1014,0,0,0,23,0,0,10000,1,0,1,0,,2000,0,0,0,0,0,0,0,0,0,0,0
持续损失一定生命值，持续到本轮攻击结束。不可叠加。,410202,,1014,0,0,0,23,0,0,10000,1,0,1,0,,3000,0,0,0,0,0,0,0,0,0,0,0
持续损失一定生命值，持续到本轮攻击结束。不可叠加。,410203,,1014,0,0,0,23,0,0,10000,1,0,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
伤害加成提升1%，持续到本轮攻击结束。可叠加，最多5层。,410301,,4103,1,0,0,23,0,0,10000,0,0,5,0,,0,0,0,0,31,100,0,0,0,0,0,0
伤害加成提升2%，持续到本轮攻击结束。可叠加，最多5层。,410302,,4103,1,0,0,23,0,0,10000,0,0,5,0,,0,0,0,0,31,200,0,0,0,0,0,0
伤害加成提升3%，持续到本轮攻击结束。可叠加，最多5层。,410303,,4103,1,0,0,23,0,0,10000,0,0,5,0,,0,0,0,0,31,300,0,0,0,0,0,0
下个技能伤害额外提升20%，持续1招。不可叠加。,410401,重击增幅,4104,1,0,0,11,1,0,10000,0,,1,0,,0,0,0,0,31,5000,0,0,0,0,0,0
下个技能伤害额外提升30%，持续1招。不可叠加。,410402,重击增幅,4104,1,0,0,11,1,0,10000,0,,1,0,,0,0,0,0,31,7500,0,0,0,0,0,0
下个技能伤害额外提升40%，持续1招。不可叠加。,410403,重击增幅,4104,1,0,0,11,1,0,10000,0,,1,0,,0,0,0,0,31,10000,0,0,0,0,0,0
无法使用奥义技，永久持续。,500402,封绝,5004,0,0,0,0,0,0,10000,1,,1,0,121101,0,0,0,0,0,0,0,0,0,0,0,0
物理攻击提升20%，永久持续。不可叠加。,501201,物攻提高,5012,0,0,0,0,0,0,10000,0,,1,0,,0,0,0,5,2,2000,0,0,0,0,0,0
魔法攻击提升20%，永久持续。不可叠加。,501301,魔攻提高,5013,0,0,0,0,0,0,10000,0,,1,0,,0,0,0,5,3,2000,0,0,0,0,0,0
暴击抵抗率提升100%，永久持续。不可叠加。,501401,抗暴提高,5014,0,0,0,0,0,0,10000,0,,1,0,,0,0,0,0,15,10000,0,0,0,0,0,0
物理防御与魔法防御降低10%，永久持续。不可叠加。,502401,偷袭,5024,0,0,0,0,0,0,10000,1,,1,1,,0,0,0,6,4,1000,6,5,1000,0,0,0
伤害加成提升20%，永久持续。可叠加，层数不限。,600004,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,2000,0,0,0,0,0,0
暴击率提升100%，永久持续。不可叠加。,700001,,5005,1,0,0,0,0,0,10000,0,0,1,0,,0,0,0,0,13,10000,0,0,0,0,0,0
伤害加成提升20%，永久持续。可叠加，层数不限。,700002,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,2000,0,0,0,0,0,0
伤害加成提升20%，永久持续。不可叠加。,700005,,1003,1,0,0,0,0,0,10000,0,0,1,0,,0,0,0,0,31,2000,0,0,0,0,0,0
攻击时回复生命值，造成伤害的20%，永久存在，可叠4层，不可清除,700007,,5023,0,0,0,23,1,0,10000,0,,4,1,1631,0,0,0,0,0,0,0,0,0,0,0,0
伤害提升20%，受到伤害降低20%，永久持续，不可叠加。,700101,,7001,0,0,0,0,0,0,10000,0,,1,1,,0,0,0,0,31,2000,0,32,2000,0,0,0
持续损失生命值，永久持续。不可叠加。,700201,,1014,0,0,0,0,0,0,10000,1,1014;1015,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
持续损失较多生命值，永久持续。不可叠加。,700301,,1015,0,0,0,0,0,0,10000,1,1014;1015,1,0,,10000,0,0,0,0,0,0,0,0,0,0,0
伤害加成提升20%，永久持续。不可叠加。,700003,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,2000,0,0,0,0,0,0
物理防御与魔法防御降低10%，永久持续。可叠加，最多5层。,500301,,5003,0,0,0,0,0,0,10000,1,0,10,0,,0,0,0,6,4,1000,6,5,1000,0,0,0
无法使用奥义技，持续到本轮攻击结束。不可叠加。,500401,,5004,0,0,0,23,1,0,10000,1,0,1,0,121101,0,0,0,0,0,0,0,0,0,0,0,0
暴击率提升10%，暴击伤害提升30%，永久持续。可叠加，层数不限。,500501,,5005,0,0,0,0,0,0,10000,0,0,10,0,,0,0,0,0,13,1000,0,14,3000,0,0,0
伤害减免提升8%，永久持续。可叠加，最多10层。,500601,,5006,1,0,0,0,0,0,10000,0,0,10,0,,0,0,0,0,32,800,0,0,0,0,0,0
持续损失生命值，持续10招。不可叠加。,700004,,1008,0,0,0,13,10,0,10000,1,1008;1016,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
无法行动与进行援护，持续到本轮攻击结束。不可叠加。,700006,,1005,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
暴击率提升100%，永久持续。不可叠加。,500502,,5005,0,0,0,0,0,0,10000,0,0,1,0,,0,0,0,0,13,10000,0,0,0,0,0,0
伤害减免提升50%，永久持续。不可叠加。,500602,,5006,0,0,0,0,0,0,10000,0,0,1,0,,0,0,0,0,32,5000,0,0,0,0,0,0
使用技能时，恢复5%生命值，永久持续。不可叠加。,500701,,5007,0,0,0,0,0,0,10000,0,0,1,0,3003,0,0,0,0,0,0,0,0,0,0,0,0
可使乔伊的所有技能触发额外效果，永久持续。叠加型印记，最多3层。,200901,,2009,1,0,0,0,0,0,10000,2,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0
技能冷却时间增加，持续到本轮攻击结束。不可叠加。,800001,,5008,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
物理防御提升100%，持续到本轮攻击结束。不可叠加。,800002,守佑,5002,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,5,4,10000,0,0,0,0,0,0
无法进行援护，持续到敌方攻击结束。不可叠加。,800003,,1012,0,0,0,23,1,0,10000,1,0,1,0,2003,0,0,0,0,0,0,0,0,0,0,0,0
无法行动与进行援护，持续到本轮攻击结束。不可叠加。,800004,,1005,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
持续损失生命值，持续10招。不可叠加。,800005,,1008,0,0,0,23,1,0,10000,1,1008;1016,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
持续损失生命值，持续5招。不可叠加。,800006,,1014,0,0,0,13,5,0,10000,1,1014;1015,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
物理攻击与魔法攻击降低50%，持续到本轮攻击结束。不可叠加。,800007,,8001,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,6,2,5000,6,3,5000,0,0,0
无法行动与进行援护，持续到本轮攻击结束。不可叠加。,800008,,1005,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
技能冷却时间增加，持续到本轮攻击结束。不可叠加。,800009,,5008,0,0,0,23,1,0,10000,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
伤害减免提升95%，持续到本轮攻击结束。不可叠加。,800010,,5006,1,0,0,23,1,0,10000,0,0,1,0,,0,0,0,0,32,9500,0,0,0,0,0,0
持续损失生命值，持续到本轮攻击结束。不可叠加。,800011,,1008,0,0,0,23,1,0,10000,1,1008;1016,1,0,,5000,0,0,0,0,0,0,0,0,0,0,0
所有攻击技与辅助技无法使用，持续到本轮攻击结束。不可叠加。,800012,,5009,0,0,0,23,1,0,10000,1,0,1,0,134101,10000,0,0,0,0,0,0,0,0,0,0,0
格挡率提升20%，永久持续。不可叠加,501001,,5010,1,0,0,0,0,0,10000,0,0,1,0,,0,0,0,0,16,10000,0,0,0,0,0,0
伤害降低10%，伤害减免降低5%，永久持续。可叠加，层数不限。,501101,,5011,0,0,0,0,0,0,10000,1,0,1,0,,0,0,0,1,31,1000,1,32,500,0,0,0
测试用，攻防提高10倍,600101,,6001,0,0,0,0,0,0,10000,0,0,1,0,,0,0,0,5,2,100000,5,3,100000,0,32,9000
伤害加成提升20%，永久持续。不可叠加。,700011,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,2000,0,0,0,0,0,0
伤害加成提升40%，永久持续。不可叠加。,700012,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,4000,0,0,0,0,0,0
伤害加成提升60%，永久持续。不可叠加。,700013,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,6000,0,0,0,0,0,0
伤害加成提升80%，永久持续。不可叠加。,700014,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,8000,0,0,0,0,0,0
伤害加成提升100%，永久持续。不可叠加。,700015,,1003,1,0,0,0,0,0,10000,0,0,0,0,,0,0,0,0,31,10000,0,0,0,0,0,0
抵消受到的1次攻击的绝大部分伤害，持续到本轮攻击结束，最多3层。,800013,坚壁,5015,1,0,0,23,1,0,10000,0,,3,0,,0,0,0,0,32,9500,0,0,0,0,0,0
降低受到的物理伤害50%，永久持续，不可叠加。,800014,矢量引导,5016,1,0,0,0,0,0,10000,0,5017,1,0,160303,0,0,0,0,0,0,0,0,0,0,0,0
降低受到的魔法伤害50%，永久持续，不可叠加。,800015,魔力偏移,5017,1,0,0,0,0,0,10000,0,5016,1,0,160304,0,0,0,0,0,0,0,0,0,0,0,0
伤害提升50%，受到伤害降低30%，永久持续，最多2层。,800016,决战,5018,1,0,0,0,0,0,10000,0,,2,0,160602,0,0,0,0,0,0,0,0,0,0,0,0
每层使闪避率提升10%，永久持续，最多5层。,800017,岚闪,5019,1,0,0,0,0,0,10000,0,,5,0,,0,0,0,0,12,1000,0,0,0,0,0,0
每层使暴击率提升10%，暴击伤害提升30%，永久持续，最多5层。,800018,狂猎,5020,1,0,0,0,0,0,10000,0,,5,0,,0,0,0,0,13,1000,0,14,3000,0,0,0
受到的伤害反弹200%，持续到本轮攻击结束，不可叠加。,800019,绞噬,5021,1,0,0,23,0,0,10000,0,,1,0,162501,0,0,0,0,0,0,0,0,0,0,0,0
受到的伤害由双方均摊，持续到本轮攻击结束，不可叠加。,800020,转噬,5022,1,0,0,23,0,0,10000,0,,1,0,163501,0,0,0,0,0,0,0,0,0,0,0,0
