,optional,optional,optional,optional,optional,optional,optional,optional,optional,repeated,optional,repeated
,2003,古加尼尔,34,1,0,22.64,-0.01,18.65,0,2265;2266;2267;2268;2269,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,2004,天空城,36,1,0,95.21,-0.1,2,0,2265;2266;2267;2268;2269,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,2005,失落群岛,35,1,0,37.48,6.06,-3.43,0,2265;2266;2267;2268;2269,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3003,哀嚎神殿,27,2,0,39.74322,0,-1.7,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3004,哀嚎神殿,27,2,0,39.74322,0,-1.7,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3011,饿狼巢穴,151,2,0,0.47,0,18.58,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3012,雷克兽巢穴,151,2,0,-2.58819,0,9.659258,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3013,雷克兽巢穴,151,2,0,-2.58819,0,9.659258,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3014,雷克兽巢穴,151,2,0,-2.58819,0,9.659258,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3021,玫瑰团驻地,152,2,0,5.705597,0.01186991,-53.77023,1029,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3022,沙海虫巢,156,2,0,47.72,0.08,19.22,1031,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3023,银母矿洞,158,2,0,26.72,0.31,-5.28,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3024,女巫古堡,157,2,0,3.075715,3.315,-2.092142,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
单人普通,3026,魔族之心,155,2,0,-234.6296,-14.535,-65.30128,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3027,风沙堡,159,2,0,-17.18434,8.851018,36.48024,1043,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3028,露西蒂尼之墓,154,2,0,31.75,0.08831739,-10.87,1030,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3029,玫瑰团驻地,152,2,0,2.81,0.02,-50.22,1029,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3030,哥布林巢穴,153,2,0,-5.82,0.04,1.96,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3031,哥布林巢穴,153,2,0,-5.82,0.04,1.96,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3032,哀嚎神殿,27,2,0,29.12,0.05,-0.76,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3033,幻阵,28,2,0,450,0,150,1013,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
单人剧情,3034,魔族之心,155,2,0,-234.6296,-14.535,-65.30128,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3035,露西蒂尼之墓,154,2,0,31.75,0.08831739,-10.87,1030,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3036,哀嚎神殿,27,2,0,29.12,0.05,-0.76,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3038,饿狼巢穴,151,2,0,-4.3,0,33.015,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3039,风沙堡,159,2,0,-17.18434,8.851018,36.48024,1043,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3040,沙海虫巢,156,2,0,47.72,0.08,19.22,1031,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3041,银母矿洞,158,2,0,26.72,0.31,-5.28,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3042,凋零之地,163,2,0,-11.69391,-2.436795,1.806023,1030,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3043,女巫古堡,157,2,0,3.075715,3.315,-2.092142,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3044,树心城,162,2,0,1083,-4,139,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3045,树心城,161,2,0,820.4446,14.36252,97.0659,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3046,树心城,160,2,0,39.38,12.64,64.11,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3047,凋零之地,163,2,0,-11.69391,-2.436795,1.806023,1030,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3048,树心城,161,2,0,759.8693,10.78782,129.5461,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3051,卡诺萨战争,167,2,2,69.86,25.76,69.51,1029,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3052,金银试炼场,154,2,0,31.75,0.08831739,-10.87,1030,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3053,神锋试炼场,158,2,0,24.66439,0.517314,0.933239,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3054,枭鹰邦域,161,2,0,761.04,10.18,129.59,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3055,枭鹰矿洞,158,2,0,26.61,0.31,-4.62,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3061,魔族之心,155,2,2,-234.54,-21.17,-58.58,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3069,玛露茜的家,164,2,0,-1,-0.7182159,0.22,1044,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3070,霍克森墓室,154,2,0,31.82,0.09,-11.01,1030,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3071,神迹实验室,166,2,0,17.78,7.63,33.65,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3072,地下密境,153,2,0,-36.88,0.03,15.8,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3073,深海实验室,168,2,0,6.953745,0.03062057,-2.924656,1058,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3074,森之幻界,169,2,2,80.42001,1.71335,-46.01,1040,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3075,夜幕古堡_大厅,155,2,0,-234.6296,-14.535,-65.30128,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3076,夜幕古堡-楼梯,27,2,0,-24.36783,-9.569988,-67.87125,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3077,命案现场,161,2,0,745.44,12.82,203.79,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3078,夜幕古堡-走廊,155,2,0,-280.487,-21.25,-29.914,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3079,夜幕古堡-密室,155,2,0,-235.9728,-21.16669,31.78541,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3080,夜幕古堡-城堡前,163,2,0,-16.59,0.51,22.52,1030,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3081,夜幕古堡-前厅,27,2,0,8.73,0.05,-1.66,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3082,夜幕古堡_书房,27,2,0,-56.3,-4.2,34,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3083,夜幕古堡幻阵,28,2,0,450,0,150,1013,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3084,诡异的左相府,164,2,0,-1,-0.7182159,0.22,1044,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3085,黄金立方,165,2,0,0,0,0,1057,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3086,黑龙战舰,170,2,0,53.2,-3.52,0.08,10000006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3087,失事飞船,170,2,0,58.33,-3.52,-0.49,10000006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3090,博士的家,157,2,0,-10.207,5.29,0.833,1036,2280,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3096,海地斯监狱四层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3097,海地斯监狱一层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3098,海地斯监狱三层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3099,海地斯监狱二层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3101,海地斯监狱五层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3102,海地斯监狱六层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3103,海地斯监狱十一层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3104,海地斯监狱十层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3105,海地斯监狱七层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3106,海地斯监狱十六层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3107,海地斯监狱十五层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3108,海地斯监狱十三层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3109,海地斯监狱十七层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3110,海地斯监狱十四层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3111,海地斯监狱八层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3112,海地斯监狱十九层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3113,海地斯监狱十二层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3114,海地斯监狱二十层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3115,海地斯监狱九层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3116,海地斯监狱十八层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3124,右相秘宝,27,2,0,-18.59,-4.2,-18.61,1003,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3125,暗黑遗迹,155,2,0,-215.51,-21.17,-29.4,1013,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3126,废弃古城,159,2,0,-17.18434,8.851018,36.48024,1043,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3127,纳雅实验室,166,2,0,17.51,7.63,35.45,1056,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3128,哥布林藏宝洞,153,2,0,-5.82,0.04,1.96,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3129,立方函道,165,2,0,0,0,0,1057,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3130,矿石迷踪,158,2,0,26.72,0.31,-5.28,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3131,树心城旧区,161,2,0,770.2671,10.37164,128.2448,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3132,虫巢调研,156,2,0,39.867,0.08,54.995,1031,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3133,陵墓考察,154,2,0,31.75,0.08831739,-10.87,1030,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3134,流沙虫巢,156,2,0,47.72,0.08,19.22,1031,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3135,墓穴探险,154,2,0,11.68,-3.765,54.76,1030,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3136,盗贼据点,164,2,0,-1,-0.7182159,0.22,1044,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3137,恶狼宝窟,151,2,0,0.47,0,18.58,1009,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3138,怪医囚牢,168,2,0,59.07,-9.15,6.914,1058,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3139,诡异的左相府,164,2,0,-1,-0.7182159,0.22,1044,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3140,枭鹰矿洞,158,2,0,26.61,0.31,-4.62,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3141,黑龙战舰,170,2,0,-16.49,13.03,-0.15,10000006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3142,枭鹰邦域,161,2,0,761.04,10.18,129.59,1040,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3143,失事飞船,170,2,0,58.33,-3.52,-0.49,10000006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3144,深海实验室普通本,168,2,0,60.97,-9.28,4.099998,1058,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3145,黄金立方,165,2,0,0,0,0,1057,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3146,神迹实验室,166,2,0,17.78,7.63,33.65,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3147,夜色卡诺萨,175,2,0,61.076,25.6,68.345,10000004,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10000004
,3148,地下研究室,172,2,0,43.31,4.29,-43.63,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3149,欧斯秘境,168,2,0,6.953745,0.03062057,-2.924656,1058,2312,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3150,哥布林巢穴,153,2,0,-41.53,0.03,18.25,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3151,左相府,164,2,0,-1,-0.7182159,0.22,1044,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3152,哀嚎神殿,27,2,0,-16.97,-8.32,-68.02,1003,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3153,黯月城一层,155,2,0,-236.06,-21.25,28.9346,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3154,夜色卡诺萨,175,2,0,55.161,24.44,69.35,10000004,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10000004
,3156,哥布林巢穴,153,2,0,-81,0.04,12.9,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3157,古遗迹,158,2,0,26.29,0.31,-5.02,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3158,战舰模拟战,170,2,2,-14.19,13.15,-0.08,10000006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3159,深渊的凝望,28,2,0,450,0,150,1013,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3163,海地斯监狱二十一层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3164,海地斯监狱二十二层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3165,海地斯监狱二十三层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3166,海地斯监狱二十四层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3167,海地斯监狱二十五层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3168,海地斯监狱二十六层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3169,海地斯监狱二十七层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3170,海地斯监狱二十八层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3171,海地斯监狱二十九层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3172,海地斯监狱三十层,176,2,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9000,PVE测试地图,151,2,9,-2.58819,0,9.659258,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9001,测试地图1,21,1,0,17.184,0.5824,18.3936,2289,2265;2266;2267;2268;2269,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9002,测试地图2,21,1,0,17.184,0.5824,18.3936,2289,2265;2266;2267;2268;2269,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9003,多人测试副本1,151,2,1,-2.58819,0,9.659258,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9004,多人测试副本2,151,2,1,-2.58819,0,9.659258,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9005,单人测试副本,151,2,0,-2.58819,0,9.659258,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9012,试炼之程第一章,21,8,0,52.49,6.22,21.11,0,2265;2266;2267;2268;2269,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9013,试炼之程第二章,34,8,0,22.64,-0.01,18.65,0,2265;2266;2267;2268;2269,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9014,卡诺萨城欢聚夜,10,9,0,-69.13,20.79,0.34,1045,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9999,测试空场景,1000,0,0,0,0,0,0,,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
过场动画用,10000,卡诺萨城,10,6,0,-69.13,20.79,0.34,1045,2270;2271;2272;2273;2274,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,9006,继续副本进度,151,2,0,38.1,0,92.43,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
