,required,required,required
,1001446,10005,1
,1001447,10008,1
,1001448,10010,1
,1001449,10015,1
,1001450,10017,1
,1001451,10020,1
,1001452,10023,1
,1001453,10054,1
,1001454,10045,1
,1001455,10058,1
,1001456,10040,1
,1001457,5004,1
,1001458,52003,1
,1001459,10021,1
,1001460,10054,1
,1001461,9001,1
,1001462,52008,1
,1001463,10022,1
,1001464,5000,1
,1001465,9002,1
,1001466,52009,1
,1001467,10057,1
,1001468,10037,1
,1001469,9004,1
,1001470,9003,1
,1001471,9000,1
,1001472,10002,1
,1001473,10005,1
,1001474,10008,1
,1001475,10010,1
,1001476,10015,1
,1001477,10017,1
,1001478,10020,1
,1001479,10023,1
,1001480,10054,1
,1001481,10045,1
,1001482,10058,1
,1001483,10040,1
,1001484,5004,1
,1001485,52003,1
,1001486,10021,1
,1001487,10054,1
,1001488,9001,1
,1001489,52008,1
,1001490,10022,1
,1001491,5000,1
,1001492,9002,1
,1001493,52009,1
,1001494,10057,1
,1001495,10037,1
,1001496,9004,1
,1001497,9003,1
,1001498,9000,1
,1001499,10002,1
,1001500,10005,1
,1001501,10008,1
,1001502,10010,1
,1001503,10015,1
,1001504,10017,1
,1001505,10020,1
,1001506,10023,1
,1001507,10054,1
,1001508,10045,1
,1001509,10058,1
,1001510,10040,1
,1001511,5004,1
,1001512,52003,1
,1001513,10021,1
,1001514,10054,1
,1001515,9001,1
,1001516,52008,1
,1001517,10022,1
,1001518,5000,1
,1001519,9002,1
,1001520,52009,1
,1001521,10057,1
,1001522,10037,1
,1001523,9004,1
,1001524,9003,1
,1001525,9000,1
,1001526,10002,1
,1001527,10005,1
,1001528,10008,1
,1001529,10010,1
,1001530,10015,1
,1001531,10017,1
,1001532,10020,1
,1001533,10023,1
,1001534,10054,1
,1001535,10045,1
,1001536,10058,1
,1001537,10040,1
,1001538,5004,1
,1001539,52003,1
,1001540,10021,1
,1001541,10054,1
,1001542,9001,1
,1001543,52008,1
,1001544,10022,1
,1001545,5000,1
,1001546,9002,1
,1001547,52009,1
,1001548,10057,1
,1001549,10037,1
,1001550,9004,1
,1001551,9003,1
,1001552,9000,1
,1001553,10002,1
,1001554,10005,1
,1001555,10008,1
,1001556,10010,1
,1001557,10015,1
,1001558,10017,1
,1001559,10020,1
,1001560,10023,1
,1001561,10054,1
,1001562,10045,1
,1001563,10058,1
,1001564,10040,1
,1001565,5004,1
,1001566,52003,1
,1001567,10021,1
,1001568,10054,1
,1001569,9001,1
,1001570,52008,1
,1001571,10022,1
,1001572,5000,1
,1001573,9002,1
,1001574,52009,1
,1001575,10057,1
,1001576,10037,1
,1001577,9004,1
,1001578,9003,1
,1001579,9000,1
,1001580,10002,1
,1001581,10005,1
,1001582,10008,1
,1001583,10010,1
,1001584,10015,1
,1001585,10017,1
,1001586,10020,1
,1001587,10023,1
,1001588,10054,1
,1001589,10045,1
,1001590,10058,1
,1001591,10040,1
,1001592,5004,1
,1001593,52003,1
,1001594,10021,1
,1001595,10054,1
,1001596,9001,1
,1001597,52008,1
,1001598,10022,1
,1001599,5000,1
,1001600,9002,1
,1001601,52009,1
,1001602,10057,1
,1001603,10037,1
,1001604,9004,1
,1001605,9003,1
,1001606,9000,1
,1001608,106,1
,1001609,52013,1
,1001610,10037,1
,1001611,10035,1
,1001612,107,1
,1001613,401,1
,1001614,106,1
,1001615,52013,1
,1001616,10037,1
,1001617,10035,1
,1001618,107,1
,1001619,401,1
,1001620,106,1
,1001621,52013,1
,1001622,10037,1
,1001623,10035,1
,1001624,107,1
,1001625,401,1
,1001626,106,1
,1001627,52013,1
,1001628,10037,1
,1001629,10035,1
,1001630,107,1
,1001631,401,1
,1001632,52008,1
,1001633,10030,1
,1001634,10019,1
,1001635,10040,1
,1001636,52022,1
,1001637,52022,1
,1001638,10019,1
,1001639,10040,1
,1001640,10028,1
,1001641,10028,1
,1001642,10050,1
,1001643,10050,1
迪罗赞,1001644,111,1
迪罗赞,1001645,111,1
迪罗赞,1001646,111,1
纳塔娜,1001647,113,1
纳塔娜,1001648,113,1
纳塔娜,1001649,113,1
萨米尔,1001650,114,1
萨米尔,1001651,114,1
萨米尔,1001652,114,1
,1001672,10025,0
,1001673,52015,1
,1001674,52020,1
,1001675,52013,1
,1001676,52018,1
,1001677,52023,1
,1001678,52024,1
,1001679,52022,1
,1001680,9004,1
,1001682,10005,1
,1001683,5004,1
,1001684,10013,1
,1001685,10054,1
,1001686,52010,1
,1001687,10057,1
,1001688,9002,1
,1001689,10036,1
,1001701,10010,1
,1001702,10053,1
,1001703,10042,1
,1001704,5004,1
,1001705,10052,1
,1001706,52023,1
,1001707,10052,1
,1001708,10015,1
,1001709,52018,1
,1001710,9003,1
,1001711,52012,1
,1001712,5004,1
,1001713,10013,1
,1001714,52024,1
,1001715,10057,1
,1001716,10023,1
,1001717,52014,1
,1001718,52018,1
,1001719,10014,1
,1001720,52010,1
,1001721,10024,1
,1001722,10033,1
,1001723,10050,1
,1001724,10049,1
,1001725,401,1
,1001726,10040,1
,1001727,10020,1
,1001728,10010,1
,1001729,52023,1
,1001730,10033,1
,1001731,10045,1
,1001732,10046,1
,1001733,10016,1
,1001734,8000,1
,1001735,10038,1
,1001736,10007,1
,1001737,10041,1
,1001738,10020,1
,1001739,10051,1
,1001740,10013,1
,1001741,10054,1
,1001742,10058,1
,1001743,10013,1
,1001744,10040,1
,1001745,52013,1
,1001746,10050,1
,1001747,10054,1
,1001748,10048,1
,1001749,52021,1
,1001750,107,1
,1001758,10026,1
,1001759,10026,1
,1001760,10026,1
,1001761,10026,1
,1001762,10026,1
,1001763,10026,1
,1001764,10026,1
,1001765,10026,1
,1001766,10026,1
,1001767,10026,1
,1001768,10026,1
,1001769,10026,1
,1001770,10014,1
,1001771,52008,1
,1001772,10008,1
,1001773,52014,1
,1001774,5004,1
,1001775,10003,1
武装狼人,2001211,10026,1
,8709001,9001,1
嗜血战魂,9000011,52003,1
温丽,9000031,201,1
普通盗贼,9000041,10001,1
哥布林德雷克,9000045,10005,1
半鱼人,9000056,10028,1
盗贼奸细,9000057,10003,1
毒刃蜂后,9000058,10025,1
怒海鱼妖,9000059,10020,1
铠甲幽灵,9000062,52002,1
暗夜法师,9000063,10013,1
无魂骑士,9000064,52001,1
弑魂领主,9000065,52003,1
血魔腐蚀者,9000066,10033,1
,9000068,10016,1
,9000070,10002,1
边陲沙狐,9000071,10041,1
魔脊半人鱼,9000072,10047,1
黑蹄鹿角兽,9000073,10034,1
草原领主,9000075,10027,1
大哥布林,9000077,10005,1
戈壁火狐,9000078,10053,1
魔化毒角兽,9000079,10033,1
魅魔,9000085,10057,1
,9000086,10040,1
,9000087,10047,1
,9000088,10049,1
,9000089,10045,1
,9000090,10019,1
不死丧尸,9000093,10019,1
狐克斯,9000094,10008,1
亡魂死徒,9000095,52001,1
亡魂死士,9000096,52002,1
黑袍哥布林,9000098,10007,1
丛林偷猎者,9000099,10002,1
玫瑰团追随者,9000100,10003,1
玫瑰团流浪者,9000101,10003,1
野蛮孤狼,9000102,10023,1
半鱼人,9000103,10028,1
玫瑰团追随者,9000104,10003,1
玫瑰团流浪者,9000105,10001,1
黑袍哥布林,9000107,10007,1
丛林偷猎者,9000108,10004,1
滚石怪,9000109,10017,1
亡魂死徒,9000111,52001,1
亡魂死士,9000112,52002,1
苍白獠牙塞特,9000113,10026,1
黑色蔷薇费玛,9000114,10021,1
食人酋长布鲁,9000115,10012,1
扭曲不死者,9000116,10013,1
骑士长亚索,9000117,52008,1
鹿角男爵尤德,9000118,10024,1
魔脊半鱼人,9000119,10047,1
白眼独狼,9000120,10044,1
巫袍鹿角兽,9000121,10024,1
石像鬼,9000122,9002,1
荆棘花妖,9000123,5000,1
永夜鱼龙,9000124,10047,1
贝拉,9000125,10022,1
巫袍鹿角兽,9000126,10024,1
暗黑战魂,9000127,52008,1
嗜血战魂,9000128,52003,1
武装狼人,9000129,10026,1
亡魂首领,9000130,52008,1
巨熊首领,9000131,10015,1
沙漠巨人,9000132,10014,1
泰坦之魂,9000133,10052,1
,9000147,10049,1
,9000148,8000,1
,9000154,10033,1
,9000155,10021,1
,9000156,52001,1
,9000157,52002,1
,9000158,10015,1
,9000159,10019,1
,9000160,10028,1
,9000161,10058,1
,9000162,10054,1
,9000163,10005,1
,9000164,10005,1
,9000165,10016,1
,9000166,10017,1
,9000167,10033,1
怨念丧尸,9000168,10019,1
檐鬼,9000170,106,1
贪婪,9000171,10031,1
黑骑士,9000173,52008,1
,9000174,10003,1
,9000175,10001,1
,9000192,10049,1
,9000193,10045,1
,9000194,10033,1
,9000195,10003,1
半鱼人,9000197,10047,1
巫袍鹿角兽,9000198,10024,1
暗黑战魂,9000199,52008,1
嗜血战魂,9000200,52003,1
戈壁火狐,9000206,10053,1
鹿角兽,9000207,10034,1
鹿角怪,9000208,10024,1
沙漠巨人,9000209,10052,1
感染的冒险者,9000210,10038,1
熊人战士,9000211,10015,1
鹿角兽队长,9000212,10024,1
,9000213,52012,1
,9000214,52014,1
,9000215,52018,1
狐克斯,9000216,10008,1
,9000218,52012,1
,9000219,10042,1
,9000220,52012,1
狐克斯,9000221,10008,1
鹿角兽,9000222,10034,1
湖畔镇强盗,9000223,10003,1
,9000224,52003,0
,9000225,10015,1
,9000226,10002,1
,9000231,10053,1
,9000232,52021,1
,9000234,10016,1
,9000235,52011,1
,9000236,10023,1
白眼独狼,9000237,10023,1
碎魂狼王,9000238,10026,1
劫匪哥布林,9000239,10038,1
斗篷女盗贼,9000240,10001,1
盗贼,9000241,10022,1
黑色荆棘,9000242,10021,1
哥布林推销员,9000243,10005,1
劫匪,9000244,10002,1
鹿角兽队长,9000245,10024,1
,9000246,10010,1
,9000247,10053,1
,9000248,10015,1
,9000249,10048,1
,9000252,10044,1
,9000253,10044,1
,9000254,10058,1
,9000255,10002,1
,9000257,52002,1
,9000259,10013,1
,9000260,10051,1
,9000261,10046,1
,9000262,10054,1
,9000263,10045,1
,9000264,10049,1
,9000265,10049,1
,9000266,10012,1
,9000267,10038,1
,9000268,10034,1
,9000269,10015,1
,9000270,8000,1
,9000271,52018,1
,9000272,52014,1
,9000273,10037,1
,9000274,10037,1
,9000276,10058,1
,9000277,10016,1
,9000278,52023,1
,9000279,52002,1
,9000280,10002,1
巫傀,9000285,10058,1
,9000287,10033,1
,9000289,10010,1
,9000290,10033,1
,9000293,52015,1
,9000294,10016,1
,9000295,10050,1
,9000297,10042,1
,9000298,8000,1
,9000299,10042,1
,9000300,52008,1
,9000301,10051,1
,9000302,52012,1
,9000303,52012,1
,9000314,52013,1
,9000324,52001,1
,9000325,103,1
,9000326,401,1
,9000397,302,1
,9000398,10021,1
,9000399,52024,1
,9000400,52017,1
,9000401,52021,1
,9000410,10008,1
,9000411,10010,1
,9000412,52021,1
,9000413,10049,1
,9000414,10003,1
,9000415,10051,1
,9000416,52012,1
,9000417,10014,1
,9000418,10038,1
,9000419,10002,1
,9000420,52015,1
,9000421,52002,1
,9000422,10015,1
,9000423,52024,1
,9000424,10028,1
,9000425,10047,1
,9000426,52014,1
,9000427,10046,1
,9000428,52018,1
,9000429,107,1
,9000430,9001,1
浮士德72,9000432,10016,1
机械石像鬼,9000433,52022,1
袭击者,9000434,52015,1
摩尼耶,9000435,52013,1
,9000436,52012,1
,9000437,10042,1
,9000438,10052,1
,9000439,10009,1
,9000440,52022,1
,9000441,107,1
,9000442,9001,1
愤怒,9000443,9000,1
,9000444,52024,1
,9000445,52011,1
,9000446,52021,1
,9000447,10050,1
,9000448,8000,1
,9000451,52012,1
,9000452,9001,1
,9000453,10037,1
,9000454,10031,1
,9000455,10027,1
,9000456,10010,1
,9000457,10010,1
,9000458,9003,1
,9000459,10037,1
,9000460,10057,1
,9000461,10036,1
,9000462,10022,1
,9000463,10032,1
,9000464,52008,1
,9000465,10042,1
,9000466,10033,1
,9000467,52011,1
,9000468,52010,1
,9000469,10050,1
,9000470,52022,1
,9000471,10024,1
,9000472,10057,1
,9000473,52010,1
,9000474,10012,1
,9000475,10035,1
,9000476,10012,1
,9000477,10057,1
,9000478,10021,1
,9000479,10035,1
,9000480,8000,1
,9000481,9002,1
,9000482,10037,1
,9000483,10015,1
,9000484,52021,1
,9000485,52022,1
,9000486,10035,1
,9000487,10042,1
,9000488,10033,1
,9000489,9001,1
,9000490,10025,1
,9000491,9000,1
,9000492,10032,1
,9000493,10032,1
,9000494,10022,1
,9000495,10025,1
,9000496,10042,1
,9000497,10012,1
,9000498,10033,1
,9000499,52012,1
,9000500,52024,1
,9000501,52022,1
,9000502,10027,1
,9000503,9002,1
,9000504,10035,1
,9000505,10057,1
,9000506,10032,1
,9000507,52021,1
,9000508,10037,1
,9000509,52021,1
,9000510,10022,1
,9000511,52012,1
,9000512,10033,1
,9000513,10026,1
,9000514,10025,1
,9000515,10027,1
,9000516,52013,1
,9000517,10036,1
,9000518,52023,1
,9000519,9001,1
,9000520,10020,1
,9000521,10042,1
,9000522,52021,1
,9000523,10031,1
,9000524,10013,1
,9000525,9002,1
,9000526,10032,1
,9000527,52024,1
,9000528,10022,1
,9000529,10032,1
,9000530,52008,1
,9000531,9003,1
,9000532,10015,1
,9000533,10024,1
,9000534,8000,1
,9000535,52010,1
,9000536,52018,1
,9000537,10022,1
,9000538,10032,1
,9000539,52008,1
,9000540,10012,1
,9000541,52012,1
,9000542,9001,1
,9000543,10037,1
,9000544,10042,1
,9000545,10033,1
,9000546,52011,1
,9000547,52010,1
,9000548,10050,1
,9000549,10037,1
,9000550,10057,1
,9000551,52003,1
,9000552,52008,1
,9000553,10027,1
,9000554,10010,1
,9000555,10010,1
,9000556,10036,1
,9000557,52022,1
,9000558,10024,1
,9000559,10057,1
,9000560,52010,1
,9000561,10012,1
,9000562,10035,1
,9000563,10012,1
,9000564,10057,1
,9000565,10021,1
,9000566,10035,1
,9000567,8000,1
,9000568,9002,1
,9000569,10037,1
,9000570,10015,1
,9000571,52021,1
,9000572,52022,1
,9000573,10013,1
,9000574,10035,1
,9000575,10042,1
,9000576,10033,1
,9000577,9001,1
,9000578,10025,1
,9000579,9000,1
,9000580,10032,1
,9000581,10032,1
,9000582,10022,1
,9000583,10025,1
,9000584,10042,1
,9000585,10012,1
,9000586,10033,1
,9000587,52012,1
,9000588,52024,1
,9000589,52022,1
,9000590,10027,1
,9000591,9002,1
,9000592,10035,1
,9000593,10057,1
,9000594,10032,1
,9000595,52021,1
,9000596,10037,1
,9000597,52021,1
,9000598,10022,1
,9000599,52012,1
,9000600,10033,1
,9000601,10026,1
,9000602,10025,1
,9000603,10025,1
,9000604,10027,1
,9000605,52013,1
,9000606,10036,1
,9000607,52023,1
,9000608,9001,1
,9000609,10020,1
,9000610,10042,1
,9000611,52021,1
,9000612,10031,1
,9000613,10013,1
,9000614,10013,1
,9000615,9002,1
,9000616,10032,1
,9000617,52024,1
,9000618,10022,1
,9000619,10032,1
,9000620,52008,1
,9000621,9003,1
,9000622,10015,1
,9000623,10024,1
,9000624,8000,1
,9000625,52010,1
,9000626,52018,1
,9000627,10022,1
,9000628,10032,1
,9000629,52008,1
,9000630,10012,1
,9000631,52015,1
,9000632,52020,1
,9000633,52023,1
,9000634,52022,1
,9000635,52012,1
,9000636,9001,1
,9000637,10037,1
,9000638,10042,1
,9000639,10033,1
,9000640,52011,1
,9000641,52010,1
,9000642,10050,1
,9000643,10037,1
,9000644,10057,1
,9000645,52003,1
,9000646,52008,1
,9000647,10027,1
,9000648,10010,1
,9000649,10010,1
,9000650,10036,1
,9000651,52022,1
,9000652,10024,1
,9000653,10057,1
,9000659,52011,1
,9000660,10012,1
,9000661,113,1
,9000662,10058,1
,9000664,10014,1
,9000665,52011,1
,9000666,112,0
,9000667,9004,0
,9000668,105,0
,9000669,9003,0
,9000670,10002,0
,9000674,10047,0
,9000675,52015,1
,9000677,10022,1
,9000678,52011,1
,9000679,107,1
,9000680,10002,1
,9000682,10003,0
,9000683,113,1
,9000684,10002,1
,9000695,105,1
,9000696,10027,1
,9000697,8000,1
,9000698,10038,1
丧尸怪1,9001001,10013,1
红魔工蜂,9001003,10011,1
小石头人,9001004,10017,1
劫匪,9001011,10025,1
卫兵,9001012,52004,1
哥布林小贼,9001013,10007,1
哥布林小怪,9001014,10007,1
该隐,9001015,10025,1
山岭巨人,9001016,10014,1
狐克斯,9001021,10008,1
����,9001032,52011,1
哥布林小贼,9001033,10007,1
山岭巨人,9001034,10014,1
鱼妖,9001041,10028,1
鹿角兽破坏者,9001042,10024,1
瑞杰,9001043,10002,1
,9999999,9999999,1
剧情用贪婪,70210031,10031,1
战斗教学1白银盾战,80052011,52011,0
,80100101,101,1
,80110018,10015,0
战斗教学1嗜血战魂,80152003,52003,1
,80200101,101,1
战斗教学2鹿角兽1,80210006,10006,1
,80211006,10006,1
,80300101,101,1
,80300201,201,1
战斗教学3部落战士,80310004,10004,1
战斗教学4狼人战士,80310023,10023,0
战斗教学4武装狼人,80310026,10026,0
战斗教学5狼人战士,80410023,10044,0
战斗教学怪,80452003,52003,1
战斗教学怪,80510006,10006,1
,80511006,10006,1
,80610022,10022,0
战斗教学怪,80710001,10001,1
战斗教学怪,80710002,10002,1
战斗教学怪,80710004,10004,1
,80810015,10012,0
,80910035,10035,0
,80952008,52003,1
,80952009,52008,0
,81310011,10025,1
,81310025,10025,1
,81510026,10026,1
,81652011,52011,0
,87020101,101,1
,87020106,106,1
,99999999,99999999,1
